Kategori,Başlık,İçerik
Eğitim,TUS 2. dönem uzmanlık dalı değişikliği yerleştirme sonuçları açıklandı,2023 Tıpta Uzmanlık Eğitimi Giriş Sınavı (2023-TUS) 2. dönem uzmanlık dalı değişikliği yerleştirme sonuçları açıklandı.
Eğitim,YÖK'ten üretken yapay zeka kullanımına dair etik rehber,"YÖK, Yükseköğretim Kurumları Bilimsel Araştırma ve Yayın Faaliyetlerinde Üretken Yapay Zeka (ÜYZ) Kullanımına Dair Etik Rehber hazırladı."
Eğitim,Yeni matematik müfredatındaki değişikliklerin gerekçeleri açıklandı,"Yeni matematik müfredatı için oluşturulan komisyonlarda görev alan akademisyenler ve eğitim uzmanları, öğretim programını kurgularken çeşitli meslekleri seçecek her öğrencinin ""en merkezi matematiksel becerilerinin"" geliştirilmesinin hedeflendiğini bildirdi."
Eğitim,20 bin öğretmen ataması yapılacak,"Milli Eğitim Bakanı Yusuf Tekin, 20 bin öğretmen ataması yapılacağını duyurdu. Atama takvimindeki ilk 5 branş ise şöyle sıralandı: Sınıf öğretmenliği için 3 bin 263 arkadaşımız, Özel Eğitim Öğretmenliği için 2 bin 499, Rehberlik 1597, Din Kültürü ve Ahlak Bilgisi 1594, İngilizce 968."
Eğitim,"Milli Eğitim Bakanlığı, atama takvimini bugün açıklayacak","Cumhurbaşkanı Recep Tayyip Erdoğan, öğretmen atamalarına ilişkin, ""Milli Eğitim Bakanlığımız atamaya esas branş dağılımlarını, başvuru takvimini ve süreci paylaşacaktır"" dedi."
Eğitim,EKPSS kura usulüyle kamu kurumlarına yerleştirmeler için başvurular başladı,"Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığınca (ÖSYM), Engelli Kamu Personeli Seçme Sınavı (EKPSS) kura usulüyle kamu kurumlarına yerleştirmeler için başvuru süreci başladı."
Eğitim,Öğrenciler derse girmeden okul bahçesinde egzersiz yapıyor,"Tekirdağ'daki okullarda ""Önce egzersiz, sonra dersimiz"" sloganıyla düzenlenen fiziksel aktivite etkinlikleriyle öğrencilerin derse ilgisi sporla artıyor."
Eğitim,Bakan Tekin: Bağımlılıkların bir afet olarak tanımlanması gerekiyor,"Milli Eğitim Bakanı Yusuf Tekin, ""Madde bağımlılığı ve dijital bağımlılıklar dahil hepsinin normal koşullarda proje kapsamında bir afet olarak tanımlanması gerekiyor"" dedi."
Eğitim,MSÜ tercih işlemleri 10 Mayıs'a kadar yapılabilecek,"Milli Savunma Üniversitesi askeri öğrenci aday tercih işlemleri, 10 Mayıs'a kadar yapılabilecek."
Eğitim,İş Yeri Hekimliği ve İş Güvenliği Uzmanlığı Sınavı yapıldı,"Ölçme, Seçme ve Yerleştirme Merkezince (ÖSYM), İş Sağlığı ve Güvenliği Genel Müdürlüğü İş Yeri Hekimliği ve İş Güvenliği Uzmanlığı Sınavı (2024-İSG/1) yapıldı. Sonuçlar 30 Mayıs'ta açıklanacak."
Eğitim,Bakan Tekin'den atama açıklaması: Muhtemelen pazartesi açıklanmış olur,"Milli Eğitim Bakanı Yusuf Tekin, ""Muhtemelen pazartesi günü hem atanacak öğretmen sayısı hem de branş bazında kontenjan dağılımları açıklanmış olur."" dedi."
Eğitim,KPSS başvuruları başladı,"Kamu Personel Seçme Sınavı lisans düzeyi başvuruları alınmaya başlandı. Başvurular, 15 Mayıs'a kadar yapılabilecek."
Eğitim,"YKS için 40 gün sürecek ""kapalı matbaa dönemi"" başladı","ÖSYM'nin 8-9 Haziran'daki Yükseköğretim Kurumları Sınavı'nın (YKS) soru kitapçıklarının basımı, paketlenmesi, kontrolü ve sevki için görev alacak personelin yaklaşık 40 gün dış dünyadan izole yaşayacakları kapalı matbaa dönemi başladı."
Eğitim,"MEB, proje okullarına öğretmen atama kılavuzunu yayımladı","Milli Eğitim Bakanlığınca (MEB), Özel Program ve Proje Uygulayan Eğitim Kurumlarına Öğretmen Atamasına ilişkin kılavuz yayımlandı. Başvurular, 3-6 Mayıs tarihlerinde yapılacak - Atama sonuçları, 10 Mayıs'ta ""personel.meb.gov.tr"" adresinde duyurulacak."
Eğitim,Bakan Tekin: Öğretmen atamalarını Cumhurbaşkanı'mızın nihai kanaatini aldıktan sonra açıklayacağız,"Milli Eğitim Bakanı Yusuf Tekin, öğretmen atamaları konusunda, ""Cumhurbaşkanlığı Kabinesi toplandıktan sonra, Sayın Cumhurbaşkanı'mızın nihai kanaatini aldıktan sonra açıklamasını yapacağız"" dedi."
Eğitim,Bakan Tekin: Öğretmen atamalarına ilişkin kadro miktarı haftaya açıklanacak,"Milli Eğitim Bakanı Yusuf Tekin, öğretmen atamalarıyla ilgili, ""İhtiyacımız olan kadro miktarını Hazine ve Maliye Bakanımız ve Cumhurbaşkanımızla paylaştık. Önümüzdeki hafta Kabine sonrası açıklama yapılacak"" dedi."
Eğitim,MEB yeni müfredatı dijitalle destekleyecek,"Milli Eğitim Bakanlığınca (MEB) kamuoyunun görüşüne açılan Türkiye Yüzyılı Maarif Modeli kapsamında hazırlanan yeni müfredat taslağı ile getirilecek ""beceri"" odaklı ve ""değerler"" temelli eğitime geçişin kolaylaştırılması için yapay zeka teknolojileri, üç boyutlu yazıcılarla desteklenmiş yenilikçi sınıflar ve EBA'da zengin içerikler kullanılacak."
Eğitim,"3 bin kişiye hayat kurtaran ""Heimlich"" manevrası eğitimi verildi","Isparta'da çocukların daha güvenli ortamlarda eğitim almalarını sağlamak amacıyla başlatılan çalışmalar kapsamında 'Heimlich' manevrası eğitimi hızlandırıldı. Yıl başından bu yana 3 bin öğretmen, öğrenci ve veliye uygulamalı eğitim verildi."
Eğitim,Deprem nedeniyle görev yerini değiştiren öğretmenlere geri dönüş hakkı,"Milli Eğitim Bakanlığı (MEB), 6 Şubat 2023'teki Kahramanmaraş merkezli depremler nedeniyle yer değiştiren öğretmenlere, önceki görev yerlerine süre şartı aranmaksızın geri dönüş hakkı verileceğini açıkladı."
Eğitim,Bakan Tekin: Yeni müfredata katkı vermek isteyen her türlü öneriye açığız,"Milli Eğitim Bakanı Yusuf Tekin, yeni müfredat taslağına ilişkin, katkı vermek isteyen her türlü öneriye açık olduklarını bildirdi."
Eğitim,"Yeni müfredatta ""tarih"" eğitiminde köklü değişiklik","Türkiye Yüzyılı Maarif Modeli müfredat taslağında, ""bilgi aktarımı"" odaklı öğretimden ""tarihsel düşünme becerilerini"" merkeze alan tarih öğretimine geçildi."
Eğitim,"Yeni müfredatla aynı sınıftaki öğrencilere ""farklılaştırılmış eğitim"" geliyor","Milli Eğitim Bakanlığınca (MEB), kamuoyunun görüşüne sunulan yeni müfredat taslağında, sınıflarda farklı yeteneklere ve ilgilere sahip öğrencilere yönelik ""zenginleştirilmiş"" ve ""destekleyici"" eğitimlerin sunulacağı ""farklılaştırılmış eğitim"" yaklaşımı benimsendi."
Eğitim,'Filistin' yeni müfredat taslağında,"Milli Eğitim Bakanlığı, milli bilinci yüksek bireyler yetiştirilmesini amaçlayan yeni müfredatta birçok ekleme ve güncellemeye gidiyor. Filistin'de yaşanan insanlık dramından, Türkiye-Ermenistan ilişkilerine, Kıbrıs'a kadar pek çok önemli konu ""Türkiye Yüzyılı Maarif Modeli"" adını taşıyan müfredat taslağında geniş yer alıyor."
Eğitim,YÖK Üstün Başarı Ödülleri için başvurular başladı,"Yükseköğretim Kurulu (YÖK) tarafından verilen YÖK Üstün Başarı Ödülleri için başvurular, 13 Mayıs Pazartesi'ye kadar yapılabilecek. Ödüller ""bireysel"", ""kurumsal"", ""özel alan"" ve ""özel"" olmak üzere dört başlık altında 12 kategoride verilecek."
Eğitim,'Teknoloji bağımlılığı' ile 'siber zorbalık' konuları yeni müfredatta,"Milli Eğitim Bakanlığınca (MEB), temel eğitim sosyal bilgiler müfredatına, ""dijital vatandaşlık"", ""siber zorbalık"", ""teknoloji bağımlılığı"", ""Kovid-19 salgını"" ve ""afetler"" gibi konular eklendi."
Eğitim,Bakan Tekin yeni müfredata ilişkin soruları yanıtladı,"Bakan Tekin, üniversite sınavında soruların tamamının Bakanlığın ders kitaplarından ve müfredattan çıkacağını belirterek, ""Öğrencilerin sorulara bakış açısı, soruları çözebilme kapasitesini görebilmek açısından da soru hazırlama havuzunun da yarısının, branşları itibariyle ortaöğretim kurumlarımızdaki öğretmenlerimizden seçilmesini istedik"" dedi."
Eğitim,"EKPSS, temel soru kitapçıkları ve cevap anahtarları erişime açıldı","Ölçme, Seçme ve Yerleştirme Merkezince (ÖSYM), Engelli Kamu Personeli Seçme Sınavı (2024-EKPSS) temel soru kitapçıkları ile cevap anahtarının yüzde 10'u internet sitesinde erişime açıldı."
Eğitim,Engelli Kamu Personeli Seçme Sınavı yapıldı,"Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığınca (ÖSYM), Engelli Kamu Personeli Seçme Sınavı (2024-EKPSS) 81 il genelinde yapıldı. Sınav sonuçları, 23 Mayıs'ta açıklanacak ve 4 yıl geçerli olacak."
Eğitim,"Yeni müfredatta fen bilimleri dersleri ""bilimsel keşif"" odaklı kurgulandı","Milli Eğitim Bakanlığınca (MEB), kamuoyunun görüşüne sunulan Türkiye Yüzyılı Maarif Modeli kapsamında hazırlanan yeni müfredat taslağında, ""fen bilimleri""ne yönelik dersler, öğrencilerin ilkokuldan itibaren lise son sınıf düzeyine kadar ""bilimsel keşif"" sürecine dahil olabilmeleri için yeniden kurgulandı."
Eğitim,Türkiye'nin kalkınma projeleri yeni müfredatta,"Milli Eğitim Bakanlığınca (MEB) kamuoyunun görüşüne sunulan Türkiye Yüzyılı Maarif Modeli kapsamında hazırlanan yeni müfredat taslağındaki çeşitli derslerde, Türkiye'nin kalkınma projelerine dair içeriklere de yer verildi."
Eğitim,"Matematik derslerinde ""algoritma-bilişim"" odakta olacak","Türkiye Yüzyılı Maarif Modeli kapsamında hazırlanan yeni müfredat taslağında, matematik ve algoritma-bilişim ilişkisi matematik öğrenme ve öğretme süreçlerine hizmet edecek şekilde kurgulandı."
Eğitim,Yeni müfredat taslağı bugün askıya çıkıyor,"Milli Eğitim Bakanlığı, yeni müfredatla ilgili taslağı bugün askıya çıkarıyor. Bakan Yusuf Tekin, yeni müfredatın gelecek eğitim öğretim yılından itibaren kademeli şekilde uygulanacağını söyledi."
Eğitim,"Milli Eğitim Bakanı Tekin, öğretmenlere yönelik şiddet olaylarını kınadı","Milli Eğitim Bakanı Yusuf Tekin, öğretmenlere yönelik şiddet olaylarında idari ve adli süreçlerin takipçisi olacaklarını duyurdu."
Eğitim,YÖK Başkanı Özvar: KKTC üniversitelerine destek vereceğiz,"Yükseköğretim Kurulu (YÖK) Başkanı Prof. Dr. Erol Özvar, ""Türk üniversitelerini dünyada nerelere taşıyorsak, kalite standartları konusunda gereğini yapan KKTC üniversitelerini de oralara taşıyacağız"" dedi."
Eğitim,İstanbul'da yapay zeka lisesi kurulacak,"İstanbul İl Milli Eğitim Müdürlüğü ve Teknopark İstanbul iş birliğiyle düzenlenen ""Yapay Zeka Lisesi Kurulum ve İçerik Geliştirme Çalıştayı""nda, akademisyenler, bilişim öğretmenleri ve sektör temsilcilerince, yapay zeka lisesinin içeriğinin geliştirilmesi, müfredatının tasarlanması, hangi derslerin okutulması gibi konular ele alındı."
Eğitim,EKPSS 115 bin adayın katılımıyla pazar günü yapılacak,"Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığınca (ÖSYM), Engelli Kamu Personeli Seçme Sınavı (2024-EKPSS), 115 bin adayın katılımıyla 28 Nisan Pazar günü yapılacak."
Eğitim,Yeni müfredat taslağı yarın duyurulacak,"Milli Eğitim Bakanı Yusuf Tekin, ""Yeni müfredatla ilgili, ""Çalışmayı yarın öğleden sonra kamuoyuyla paylaşacağız. 'https://gorusoneri.meb.gov.tr/' adresinden görüş ve öneriler sunulabilir"" açıklamasında bulundu. Tekin, yeni müfredatın gelecek eğitim öğretim yılından itibaren kademeli şekilde uygulanacağını söyledi."
Eğitim,Bakan Tekin: Atamayla ilgili rakam önümüzdeki hafta Kabine olursa açıklanır,"Milli Eğitim Bakanı Yusuf Tekin, ""Önümüzdeki hafta eğer Kabine Toplantısı olursa öğretmen atama sayısı açıklanabilir. Biz rakamda uzlaştık"" açıklamasını yaptı."
Eğitim,Kaynaştırma eğitiminde öğrenci sayısı artıyor,"Milli Eğitim Bakanı Yusuf Tekin, ""2020 yılında 318 bin 327 öğrenci, eğitimini kaynaştırma ve bütünleştirme yoluyla sürdürürken 2024 yılında bu sayı 375 bin 653'tür."" dedi."
Eğitim,YDS sonuçları açıklandı,Yabancı Dil Bilgisi Seviye Tespit Sınavı sonuçları açıklandı. Sonuçlara ÖSYM'nin internet sitesinden erişilebiliyor.
Eğitim,3 üniversiteye 62 akademisyen alınacak,"Resmi Gazete'de yayımlanan ilana göre, 3 üniversitenin farklı fakülte ve bölümlerine toplamda 62 akademisyen alınacak."
Eğitim,Milli Eğitim Bakanı Tekin: Öğretmen atama sayılarını önümüzdeki hafta içerisinde açıklayacağız,"Milli Eğitim Bakanı Yusuf Tekin, öğretmen atamalarına ilişkin ""Atama sayılarını Hazine ve Maliye Bakanımızla birlikte önümüzdeki hafta içerisinde açıklayacağız."" dedi."
Eğitim,İlkokul öncesi dönemde okullaşma oranı arttı,"Türkiye'de ilkokul öncesi dönemde okullaşma oranı, son 5 eğitim öğretim yılında tüm yaş gruplarında artış gösterdi."
Eğitim,Bakan Tekin koltuğunu 11 yaşındaki Irmak'a devretti,"Milli Eğitim Bakanı Yusuf Tekin, 23 Nisan Ulusal Egemenlik ve Çocuk Bayramı dolayısıyla koltuğunu temsili olarak Gölbaşı İnönü Ortaokulu öğrencisi 11 yaşındaki Irmak Genç'e devretti."
Eğitim,Askeri Öğrenci Aday Belirleme Sınavı için kamu spotu hazırlandı,Milli Savunma Üniversitesi (MSÜ) Askeri Öğrenci Aday Belirleme Sınavı kapsamında kamu spotu hazırlandı.
Eğitim,3 üniversiteye 9 akademik personel alınacak,3 üniversitenin farklı akademik birimlerine 9 akademisyen alınacak.
Eğitim,ALES temel soru kitapçığı ve cevap anahtarı yayımlandı,"Ölçme, Seçme ve Yerleştirme Merkezince (ÖSYM) bugün düzenlenen 2024 Akademik Personel ve Lisansüstü Eğitimi Giriş Sınavı'nın (2024-ALES/1) temel soru kitapçığı ile cevap anahtarı erişime açıldı."
Eğitim,İlköğretim ve Ortaöğretim Kurumları Bursluluk Sınavı yapıldı,"Milli Eğitim Bakanlığınca (MEB), İlköğretim ve Ortaöğretim Kurumları Bursluluk Sınavı yapıldı. Sınav sonuçları, 17 Mayıs'ta ilan edilecek."
Eğitim,"Bakan Tekin, Meclis'teki 23 Nisan etkinlik alanlarını gezdi","Milli Eğitim Bakanı Tekin, 23 Nisan Ulusal Egemenlik ve Çocuk Bayramı ile TBMM'nin açılışının 104. yıl dönümü kutlamaları kapsamında Meclis bahçesindeki etkinlik alanlarında çocuklarla bir araya geldi."
Eğitim,"ALES yapıldı, sonuçlar 10 Mayıs'ta","Ölçme, Seçme ve Yerleştirme Merkezi Başkanlığınca (ÖSYM), 2024 Akademik Personel ve Lisansüstü Eğitimi Giriş Sınavı (2024-ALES/1) yapıldı. Sonuçlar, 10 Mayıs'ta açıklanacak ve 5 yıl süreyle geçerli olacak."
Eğitim,"MEB'de ""görevde yükselme"" atama sonuçları açıklandı","Milli Eğitim Bakanlığınca (MEB), şube müdürlüğü, şeflik, memurluk ve saymanlık için ""görevde yükselme"" atama sonuçları açıklandı."
Eğitim,Tokat ve Yozgat'ta eğitime bir gün ara,"Tokat Valiliği, il genelinde eğitim öğretime bir gün ara verildiğini açıkladı. Yozgat'ta ise deprem nedeniyle Kadışehri, Çekerek ve Aydıncık ilçelerinde okullar yarın tatil edildi."
Eğitim,YÖK: Türkiye'deki uluslararası öğrencilerin yüzde 95'i eğitimlerini kendi imkanlarıyla sürdürüyor,"YÖK, Türkiye'deki uluslararası öğrencilerin ülkenin gönüllü elçileri olarak memleketlerine döndüğü belirtilerek, ""Üniversitelerimizin uluslararası öğrenci ve bilim insanı hareketliliği için cazibe merkezi haline gelmesini engelleyecek her türlü mesnetsiz söz, fiil ve paylaşımlardan kaçınmak hepimiz için ciddi bir sorumluluktur"" açıklamasını yaptı."
Eğitim,Milli Eğitim Bakanlığı'ndan Filistinlilere destek,"Milli Eğitim Bakanlığı, Filistin'den Türkiye'ye getirilen çocuk ve yetişkinlere yönelik psikolojik destek ve Türkçe öğrenimi çalışması başlattı."
Eğitim,LGS kapsamındaki merkezi sınava yönelik örnek sorular yayımlandı,"Milli Eğitim Bakanlığı (MEB), 2 Haziran'da yapılacak Liselere Geçiş Sistemi (LGS) kapsamındaki merkezi sınava girecek öğrencilere destek olmak amacıyla hazırladığı yeni örnek soru ve çözümlü videoları yayımlandı."
Eğitim,YDUS başvuruları başladı,"Ölçme, Seçme ve Yerleştirme Merkezi (ÖSYM) Başkanlığınca 2 Haziran'da düzenlenecek 2024 Tıpta Yan Dal Uzmanlık Eğitimi Giriş Sınavı (2024-YDUS 1. Dönem) başvuruları başladı."
Eğitim,TUS sonuçları açıklandı,"Ölçme, Seçme ve Yerleştirme Merkezi (ÖSYM) Başkanlığınca 17 Mart'ta düzenlenen, Tıpta Uzmanlık Eğitimi Giriş Sınavı (2024-TUS 1. Dönem) ile 2024 Tıp Doktorluğu Alanında Yurt Dışı Yükseköğretim Diploma Denkliği İçin Seviye Tespit Sınavı (2024-STS Tıp Doktorluğu 1. Dönem) sonuçları açıklandı."
Eğitim,Öğretmenlere atama müjdesi,"Cumhurbaşkanı Recep Tayyip Erdoğan, yakında öğretmen ataması yapacaklarını açıkladı."
Eğitim,Mesleki eğitimde 8 bin 406 iş yerinin sözleşmesi feshedildi,"Öğrencilerin staj yaptığı ya da mesleki beceri kazandığı 94 bin 301 işletme denetlendi. Denetimlerde, iş sağlığı ve güvenliği şartlarına uygun olmayan 8 bin 406 iş yerinin sözleşmesi feshedildi."
Eğitim,EKPSS giriş belgeleri erişime açıldı,"Ölçme, Seçme ve Yerleştirme Merkezince (ÖSYM) 28 Nisan'da yapılacak 2024 Engelli Kamu Personeli Seçme Sınavı'na (2024-EKPSS) başvuran adayların sınava giriş belgeleri erişime açıldı."
Eğitim,"Ara tatil sona erdi, 20 milyon öğrenci yeniden ders başı yaptı",Okullarda ikinci ara tatil sona erdi. Yaklaşık 20 milyon öğrenci hem ara tatil hem de bayram tatilinin ardından ders başı yaptı.
Eğitim,YDUS başvuruları başladı,"Ölçme, Seçme ve Yerleştirme Merkezi (ÖSYM) Başkanlığınca 2 Haziran'da düzenlenecek 2024 Tıpta Yan Dal Uzmanlık Eğitimi Giriş Sınavı (2024-YDUS 1. Dönem) başvuruları başladı."
