Kategori,Başlık,İçerik
Sağlık,Muayenehanesi bulunan hekimlere yeni olanak,"Sağlık Bakanlığı'nın yeni düzenlemesiyle, muayenehanesi bulunan hekimler, vakıf üniversitelerinde de hasta tedavisi yapabilecek."
Sağlık,Araştırma: Kriyoablasyon yöntemi meme kanseri tedavisinde oldukça etkili,"Bilim insanları, kanserli dokuların buz yardımıyla dondurularak yok edildiği kriyoablasyon adlı yöntemin, tümör boyutları büyük ve ameliyat olamayan meme kanseri hastalarının tedavisinde etkili olduğunu tespit etti."
Sağlık,Pankreas kanseri sinsi ilerliyor,"Erken evrede fazla belirti vermeyen pankreas kanseri, görülme sıklığı açısından dünyada 12’inci sırada yer alıyor. Uzmanlar hastalıkta son yıllarda gözlenen artışı ise teşhis koyma olanaklarının gelişmesine bağlıyor."
Sağlık,Hava kirliliği sigaraya benzer şekilde kanser riskini artırıyor,"Türkiye Solunum Araştırmaları Derneği Tütün Çalışma Grubu Üyesi Prof. Dr. Nazmi Bilir, doğal ve beşeri faktörler sonucu havaya karışan partiküllerin solunum yolları aracılığıyla insan vücuduna girmesinin kanser riskini artırdığını, bu nedenle sigara içmeyen kişilerde akciğer kanseri görülebildiğini söyledi."
Sağlık,Erkeklerde ve kadınlarda en çok görülen kanser türleri,"Dünya genelinde 2'nci en yüksek ölüm nedeni kanser hastalığında erkeklerde ""akciğer"", kadınlarda da ""meme kanseri"" vakaları başı çekiyor."
Sağlık,"Kanserden korkma, geç kalmaktan kork",Kanserin son yıllarda görülme oranı artsa da tedavisinde hayli yol kat edildi. Ancak tedavide yüz güldürücü sonuçlar elde etmek için hastalığın erken evrede teşhis edilmesi gerekiyor.
Sağlık,ABD'de enfekte olmuş ineğe temas eden kişiye kuş gribi bulaştı,ABD'nin Texas eyaletinde enfekte olmuş ineğe temas eden kişiye kuş gribi (H5N1) virüsü bulaştı.
Sağlık,Teknolojinin hızı gençlerle birlikte yetişkinleri de etkiliyor,"Teknolojinin gelişmesi hayatı bir yandan kolaylaştırıyor, diğer yandan da hızlandırıyor. Anı yaşamaktan uzaklaştırıyor, sabırsızlığı arttırıyor. Uzmanlar bu durumun aile ilişkilerine zarar verdiğine dikkati çekiyor, birlikte yapılacak aktiviteler öneriyor."
Sağlık,ABD’de 1 kişide kuş gribi tespit edildi,ABD’nin Teksas eyaletinde bir kişide kuş gribi tespit edildi. Yetkililer hastalığın geçtiğimiz günlerde ineklerde tespit edilen vakalardan bulaştığını açıkladı.
Sağlık,Yaşlanmaya karşı yeni umut: Su ayıları,"Bilim insanları, tardigrad proteinlerinin insan hücrelerindeki metabolizmayı yavaşlatabildiğini keşfetti ve bu, bir gün yaşlanma sürecini yavaşlatan teknolojilere önayak olabilecek bir gelişme."
Sağlık,Her yıl dünyada 20 milyon kişi kansere yakalanıyor,"Türk Kanser Araştırma ve Savaş Kurumu Derneği Genel Başkanı Prof. Dr. Tezer Kutluk, her yıl dünyada 20 milyon, Türkiye'de ise 240 bin kişinin kansere yakalandığını aktardı."
Sağlık,Mikrobiyota dengesinin bozulması hastalıklara davetiye çıkarıyor,Son yıllarda sıkça duymaya başladığımız mikrobiyotaların sağlık üzerindeki etkisi yadsınamayacak kadar büyük. Öyle ki mikrobiyotalar crohn ve ülseratif kolit başta olmak üzere pek çok hastalığın yolunu açıyor.
Sağlık,Sessiz Katil: Her 90 saniyede bir can alıyor,"ABD'nin ""Sessiz Katili"" her yıl yüz binlerce can alıyor ve vakalar sürekli artıyor. Doktorlar her 90 saniyede bir Amerikalının ölümüne neden olan sepsis krizi konusunda uyarıyor."
Sağlık,Kontrolsüz takviye gıdalar can alıyor,"Japonya’da takviye diyet gıdası tüketen 4 kişi yaşamını yitirdi. Olay sonrası gözler takviye diyet gıdalarına çevrildi. Özellikle sosyal medyada sıkça tanıtımı yapılan bu gıdalar için uzmanların görüşü, mutlaka hekim önerisi ve kontrolünde kullanılması gerektiği…"
Sağlık,Japonya'da takviye diyet gıdası 100'ü aşkın kişiyi hastanelik etti,"Japonya'da takviye diyet gıdası ""beni-koji"" tüketen 100'ü aşkın kişinin hastaneye kaldırıldığı bildirildi."
Sağlık,Araştırma: Kahve içmek bağırsak kanserinin tekrarlama riskini azaltıyor,"Yeni araştırmaya göre, kahve içenlerin bağırsaklarında kanserli tümörlerin yeniden büyüme riski çok daha düşük."
Sağlık,Araştırma: İnsan beyni nesilden nesile büyüyor,"Yeni araştırmalara göre insan beyninin boyutu zaman içinde kademeli olarak artıyor ve bu durum, genç nesillerde demans riskini azaltabilir."
Sağlık,SGK geçen yıl sağlığa 553 milyar lira harcadı,"Sosyal Güvenlik Kurumu'nun (SGK), 2023 yılındaki sağlık harcamaları 2022'ye göre yüzde 95,3 artışla 553 milyar 143 milyon lira oldu. Ayrıca SGK'nın geri ödeme listesinde 881'i kanser tedavisinde kullanılanlar olmak üzere toplam 8 bin 844 ilaç bulunuyor."
Sağlık,Çocuklarda epilepsi sık görülüyor,"Genellikle ""sara"" ismiyle bilinen epilepsi hastalığı ileri yaştakiler kadar çocuklarda da sık görülüyor. Epilepsi nöbetleri bazı çocuklarda büyümeyle birlikte ortadan kalkarken bazılarında ise hayat boyu sürüyor. Uzmanlar erken tanı ve etkili tedavinin çocuğun yaşam kalitesini artırdığını söylüyor."
Sağlık,Japonya’da satılan gıda takviyesi 26 kişiyi hastanelik etti,Japonya'da kırmızı pirinç mayasından üretilen ve kötü huylu kolesterolü düşürdüğü iddia edilen gıda takviyeleri kullanan 26 kişiyi hastanelik etti. Yan etki gösteren takviyelerin piyasadan toplatılacağı açıklandı.
Sağlık,Trabzon Şehir Hastanesi'nin yapımı sürüyor,"Trabzon’da Şenol Güneş Spor Kompleksi’nin yanındaki dolgu alanında yapımı süren 900 yataklı Şehir Hastanesi’nin kaba inşaatı tamamlandı. Yapım çalışmaları süren şehir hastanesi inşaatında yüzde 33 seviyelerine gelinirken, deprem izolatörlerinin ise yüzde 95’i takıldı."
Sağlık,Beynine çip takılan kişinin düşünceleri 25 dakika boyunca okundu,ABD'de beynine implant yerleştirilen bir kişinin düşünceleri 25 dakika boyunca okundu.
Sağlık,Bilimsel araştırmaya göre ergenler keçi gibi kokuyor,"Almanya'da yapılan araştırmada bebeklerin çiçek, ergenlerinse keçi gibi koktuğu ortaya çıktı."
Sağlık,"Uzay şartlarında test edildi, kanamaları durdurmaya hazırlanıyor","Güvenlik güçlerinin ihtiyaçları için geliştirilen kanama durdurma çözümü, NASA'nın uzay testi koşulları ile simüle edildiği Uzay Araştırmaları Merkezi'nde başarılı sınav verdi."
Sağlık,Tüberkülozdan korunmak mümkün,"Verem bulaşıcı bir hastalık olmasına rağmen, günümüzde başarıyla tedavi edilebiliyor. Korunmanın en etkin yolu ise hastalığı taşıyan kişilerin tespit edilip erkenden tedavisine başlanmasından geçiyor. Bebeklik çağında uygulanan BCG aşısı da yine hastalıktan korunmada etkin bir role sahip."
Sağlık,"Yaşlı vatandaşlar ""YAŞAM""lar ile emin ellerde","Türkiye'de ilk kez 80 yaş ve üstü kişilerin, kendilerinden sorumlu hekime emanet edildiği Sağlıklı Yaş Alma Merkezleri (YAŞAM) ile yaşlılar bütün sağlık kontrollerini tek çatı altında kolaylıkla gerçekleştirebiliyor."
Sağlık,"Yeni egzersiz hapı, egzersiz yapmadan spor faydaları sağlayabilir","ABD'deki bilim insanları, egzersizin sağlığa faydalarından bazılarını yutulabilir bir hapa dönüştürülebileceğini iddia ediyor. Farelerle yapılan deneyler de bu iddiaları destekliyor."
Sağlık,Bakan Koca: Kamuda herkes kendi görev tanımına uygun alanda çalışacak,"Sağlık Bakanı Fahrettin Koca, sağlık teknikerlerine yönelik yeni düzenlemeye ilişkin, ""Kamuda teknikerler kendi işini, hemşire arkadaşlar kendi işini yapacak, yerine kimse çalışmayacak. Özel sektörde ise hemşire arkadaşlarımızın sorumluluğunda onların görev tanımına uygun işleri yapmaya sadece izin var"" dedi."
Sağlık,AIDS'te yeni umut: Genetik makas ile HIV tedavisi,"Bilim insanları nobel ödüllü gen düzenleme yöntemini HIV tedavisi geliştirmek için kullandı. Hollandalı uzmanlar, ""genetik makas"" olarak da adlandırılan CRISPR tekniğiyle virüsü insan hücrelerinden temizlemeyi başardıklarını açıkladı."
Sağlık,Pet şişeden içilen su mu plastik mi?,"Yaşamın kaynağı olan su, hastalıklara kapı mı aralıyor? Bu soruyu akıllara getiren ABD'de yapılan yeni bir araştırma. 1 litrelik pet şişedeki suda yaklaşık 240 bin nanoplastik tespit edildi. Nanoplastikler, plastiklerin parçalanmasıyla oluşuyor. Bu küçücük parçaların ağız yoluyla vücuda alınmasının hastalıklara davetiye çıkardığı belirtiliyor."
Sağlık,Şeker hastalığından görme kaybı yaşıyordu: 13 yıl sonra ışığa kavuştu,"Şeker hastalığı ve retinadaki damar tıkanıklığına bağlı göz arkasındaki kanama nedeniyle sağ gözünde görme kaybı yaşayan 61 yaşındaki Nihal Gültekin, başarılı bir retina ameliyatıyla 13 yıl sonra yeniden görmeye başladı."
Sağlık,HIV tedavisinde umut veren gelişme: Gen düzenlemesi,"Bilim insanları, Nobel Ödülü sahibi Crispr gen düzenleme teknolojisini kullanarak HIV'i enfekte olmuş hücrelerden başarıyla yok ettiklerini duyurdu."
Sağlık,Kusur değil farklılık: Nöroçeşitlilik,"Üç boyutlu nesneleri zihinsel olarak resimleyebilme, karmaşık matematiksel hesaplamaları kolayca çözebilme yeteneği… Ancak diğer tarafta öğrenme güçlüğü yaşama... Bu durumu yaşayan kişiler genellikle ""nöroçeşitli"" olarak kabul ediliyor."
Sağlık,Yaşlılığa giden yolda sağlık için atılacak adımlar,"Yaşlılık günlerini sağlıklı geçirmek herkesin hayali… İşte uzmanların bu süreci en iyi şekilde atlatmak için beslenmeden uykuya, fiziksel aktiviteden hobi edinmeye yönelik tavsiyeleri..."
Sağlık,Kapalı yöntem ile aort anevrizması tedavisi yapıldı,"Siirt'te nefes darlığı çeken hastaya, karın boşluğu içerisinde aort damarının genişlemesi (Abdominal Aort Anevrizması) teşhisi ile kapalı yöntem ile tedavi uygulandı."
Sağlık,Damar yolu ile verilen serumda mikroplastik çıktı,"Adana Çukurova Üniversitesi ile Danimarka Roskilde Üniversitesi'nde görevli akademisyenler, ortak çalışma ile tıbbi tedavilerde kullanılan serumları inceleyip, 1 litrelik serumlarda 65 adet mikroplastik olduğunu tespit etti."
Sağlık,"Etlik Şehir Hastanesi'nde 1,5 yılda 27 böbrek nakli yapıldı","Yaklaşık 1,5 yıl önce hizmete açılan Ankara Etlik Şehir Hastanesi, bugüne kadar gerçekleştirdiği 27 organ nakliyle, böbrek nakli bekleyen hastalara umut oldu."
Sağlık,Türkiye'de böbrek yetmezliği vakaları artıyor,"Güven Hastanesi Nefroloji Bölümü Prof. Dr. Yakup Ekmekçi, Türkiye'de artış gösteren böbrek yetmezliği vakalarına ilişkin değerlendirmelerde bulundu."
Sağlık,"Obezite tedavisi için gitti, erken teşhisle kanserden kurtuldu","Obezite tedavisi için başvurduğu hastanede mide kanseri olduğunu öğrenen yazar Serkan Tekin, ameliyatla alınan midesinin yerine ince bağırsaktan yapılan yeni mideyle hem sağlığına kavuştu hem de kilolarından kurtuldu."
Sağlık,6 soruda kolon kanseri,Sık görülen bir hastalık olan kolon kanseri erken teşhis sayesinde başarıyla tedavi edilebiliyor. Peki kolon kanseri hangi belirtilerle kendini ele veriyor? Korunmak mümkün mü?
Sağlık,Bakan Koca: 4 yıl sonra 51 bin uzman hekim daha kadromuza katılacak,"Sağlık Bakanı Fahrettin Koca, ""Şu an uzman hekim sayımız Sağlık Bakanlığı hastanelerimizde 51 bin. Yapılan düzenleme sonucunda 4 yıl sonra 51 bin uzman hekim daha kadromuza katılacak. Uzman hekim sayısı 2 katına çıkacak. 4 yıl sonra geleceğimiz nokta, ülkemizin gelecek 30 yıllık uzman hekim ihtiyacını karşılayacak"" dedi."
Sağlık,Stres beyindeki 'zaman' algısını bozuyor,"Ankara Üniversitesinden bilim insanları, ""dopamin"" ve ""stres"" faktörlerinin beynin ""zaman"" algılama süreçlerinde bazı değişimler yarattığını ortaya koydu."
Sağlık,Bakan Koca: Yan dal uzmanlığıyla ilgili düzenlemeler yapıldı,"Sağlık Bakanı Fahrettin Koca, ""Yan dal uzmanlığı ile ilgili yüzde 50'ye yakın başvurularda boş olan alanlarımız söz konusuydu. Bununla ilgili birtakım düzenlemeler yapıldı. Kanun maddesi Meclisten geçti."" dedi."
Sağlık,Anevrizmada genetik yatkınlığa dikkat,"Ani başlayan dayanılmaz şiddette baş ağrısıyla kendini ele veren anevrizma, henüz patlamadan tespiti durumunda başarıyla tedavi ediliyor. Ailesinde anevrizma öyküsü olanların ise takip altında olması hayati önem taşıyor."
Sağlık,"Kilo aldığını sandı, karnından 5 kilogram kitle çıktı","Uzun süredir karın ağrısı şikayeti bulunan 38 yaşındaki Azize Bayraktar'ın karnından yaklaşık 5 kilogram ağırlığında, 40 santimetre uzunluğundaki miyom (rahim içinde gelişen iyi huylu tümör) çıkarıldı."
Sağlık,"Sağlık Bakanlığı, 5 yıllık yeni yol haritasında ""toplum sağlığına"" odaklanacak","Sağlık Bakanlığı, yeni 5 yıllık yol haritasıyla sağlıklı yaşam bilinci ve alışkanlıklarının teşvik edilmesi, obezite ve bağımlılıkla mücadele, yaşlılar ve özel gereksinimli bireyler için hizmetlerin geliştirilmesi ile tedavi hizmetlerinin güçlendirilmesine yönelik çalışmalar yürütecek."
Sağlık,Türkiye'de 5 binden fazla kök hücre nakli yapıldı,"Türk Hematoloji Derneği İkinci Başkanı Prof. Dr. Şule Ünal Cangül, Türkiye'de geçen yıl 5 binden fazla kök hücre naklinin yapıldığını açıkladı."
Sağlık,Bakan Koca'dan Beykoz'a 800 yataklı hastane müjdesi,"Sağlık Bakanı Fahrettin Koca, Beykoz'a şehir hastanesi konseptinde bir hastane yapılacağı müjdesini verdi. Koca, ""Bu yer 500 yataklı ama her odası tek yataklı olarak planlandı. Bunun dışında 219 yoğun bakımı olan bir yer. Yani toplamda muhtemelen 800 yataklı bir hastane olarak fonksiyon verecek"" dedi."
Sağlık,Türk bilim insanlarından bir ilk: Böbrek yetmezliğinde kilit rol oynayan gen saptandı,"Hacettepe Üniversitesi (HÜ) Tıp Fakültesi öncülüğündeki uzmanlar, çocuklarda kronik böbrek yetmezliğine yol açan önemli faktörlerden birinin FOXD2 isimli gendeki bozukluk olduğunu saptayarak, bu sonucu ilk kez uluslararası tıp literatürüne kazandırdı."
Sağlık,Gıda boyaları çocukların sağlığını etkiliyor,Gıdaları daha iştah açıcı ve dikkat çekici şekle büründürmek için kullanılan renklendiricilerin sağlık üzerindeki etkisi öteden beri tartışılan bir konu. Yasal çerçevede kullanılmayan ürünler sağlığı bozuyor. Bu durumdan en fazla etkilenenler ise çocuklar.
DOSYA HABER,Belirtileri otizmle karıştırılıyor: Uyaran eksikliği,Yeterince ve yaşına uygun uyarana maruz kalmayan çocukların zihinsel ve fiziksel gelişimi olumsuz etkileniyor. Bu çocuklar otizm benzeri belirtiler gösterse de aslında rahatsızlığın başka bir adı var: Uyaran eksikliği.
Sağlık,İstem dışı uyku hali: Mikro uyku neden tehlikeli?,"Mikro uyku, trafik, iş ve ev kazalarının nedenlerinden biri olarak görülüyor. Kişi yeteri kadar uyumazsa beyin, istem dışı birkaç saniyelik uykulara dalıyor. Kişi kendisini uyanık sansa da aslında uyuyor. Bu uyku süreci ya da uyanırken yaşanan panik kazalara davetiye çıkarıyor."
