Kategori,Başlık,İçerik
Ekonomi,Bakan Bolat: TCMB'nin günlük ihracat kredi limitini 3 milyar liraya çıkardık,"Ticaret Bakanı Ömer Bolat, ""Merkez Bankasının günlük ihracat reeskont kredi limitini 3 milyar liraya çıkarma noktasında Merkez Bankası Başkanımızla da istişare ettik"" dedi."
Ekonomi,Emeklilerin yarısı 10 büyükşehirde yaşıyor,"Türkiye genelindeki 16 milyon 154 bin emeklinin yarısı 10 büyükşehirde ikamet ederken, toplam emekli nüfusunun yüzde 20'si İstanbul'da yaşıyor."
Ekonomi,Rüzgar enerjisinde kapasite artışı devam ediyor,"Türkiye Rüzgar Enerjisi Birliği Başkanı İbrahim Erden, rüzgar enerjisi sektöründe bu yıl 1000 megavat kapasitenin devreye alınmasını öngördüklerini belirterek, ""İnşallah 2035'te bunun 30 bin megavat olmasını bekliyoruz"" dedi."
Ekonomi,Finansal Okuryazarlık Platformu açıldı: Nasıl faydalanılabilir?,"Türkiye’de finansal okuryazarlığı artırmak amacıyla kurulan Finansal Okuryazarlık Platformu, birçok konuda 51 ücretsiz eğitim videosu sunuyor. Platform, bireylerin finansal bilgi ve becerilerini geliştirerek ekonomik istikrarı desteklemeyi hedefliyor. Kısa sürede yoğun ilgi gören site, kullanıcılara finansal okuryazarlık sertifikaları da veriyor."
Ekonomi,Finansal Hizmetler Güven Endeksi mayısta yükseldi,"Türkiye Cumhuriyet Merkez Bankası, mayıs ayına ilişkin Finansal Hizmetler İstatistikleri ve Finansal Hizmetler Güven Endeksi'ni açıkladı."
Ekonomi,Borsa güne düşüşle başladı,"Borsa İstanbul'da BIST 100 endeksi, yüzde 0,08 düşüşle 10.784,20 puandan başladı."
Ekonomi,"Brent petrolün varil fiyatı 81,35 dolar","Brent petrolün varili, uluslararası piyasalarda 81,35 dolardan işlem görüyor."
Ekonomi,Küresel piyasalar veri gündemine odaklandı,"Küresel piyasalarda, bugün yoğun veri gündemi yatırımcıların odağına yerleşti."
Ekonomi,Merkez Bankası'ndan mevduat oranlarıyla ilgili zorunluk karşılıklarda yeni düzenleme,"Merkez Bankası, mevduat oranlarıyla ilgili zorunluk karşılıklarda değişikliğe gitti. Yeni düzenleme Resmi Gazete'de yayımlandı."
Ekonomi,Bakan Şimşek: Vergi kayıp ve kaçağıyla etkin mücadelemiz devam ediyor,"Bakan Şimşek, vatandaşların daha kolay ve hızlı şekilde ihbarda bulunabilmeleri için Gelir İdaresi Başkanlığının yeni kanalları devreye aldığını belirterek, ""İhbarlara yönelik yapılacak vergi incelemesi sonucu ihbarda verilen bilgiye istinaden tespit edilen vergi ve vergi kaybı cezasının yüzde 10'u tutarında ihbar ikramiyesi ödenebilecek"" dedi."
Ekonomi,Borsa İstanbul günü düşüşle kapattı,"Borsa İstanbul'da BIST 100 endeksi, günü yüzde 0,98 değer kaybederek 10.792,53 puandan tamamladı."
Ekonomi,"Katılım finans kuruluşları 2,2 trilyon liralık toplam aktif büyüklüğe ulaştı","BDDK Başkanı Şahap Kavcıoğlu, katılım finans kuruluşlarının 2024 Mart itibarıyla 2,2 trilyon liralık toplam aktif büyüklüğe ulaştığını, 2002 yılsonunda yüzde 1,9 olan toplam sektör içindeki payını yüzde 8,5'e yükselttiğini söyledi."
Ekonomi,Merkez Bankası net rezervlerindeki artış 7 haftada 51 milyar doları aştı,"Para ve maliye politikaları kapsamında son dönemde atılan adımların etkisiyle Türk lirası varlıklara ilgi artarken, bu durum Merkez Bankası uluslararası rezervlerine de ""güçlü şekilde"" yansıdı."
Ekonomi,Bankacılık sektörünün mevduatı arttı,"Bankacılık sektörünün toplam mevduatı, 17 Mayıs ile biten haftada önceki haftaya göre yaklaşık 374,7 milyar lira artarak 16 trilyon 486,5 milyar liraya yükseldi."
Ekonomi,AB Komisyonu Üyesi'nden Türkiye ile ticaret hacmindeki artışa vurgu,AB Komisyonu Üyesi Varhelyi: (Türkiye ve AB) Geçen yıl bir rekor kırdık ticaret hacmi açısından. 200 milyar euronun üstüne çıkmış durumdayız.
Ekonomi,"Merkez Bankası rezervleri yaklaşık 139,1 milyar dolar oldu","Türkiye Cumhuriyet Merkez Bankasının (TCMB) toplam rezervleri, 17 Mayıs haftasında bir önceki haftaya göre 4 milyar 723 milyon dolar artarak 139 milyar 125 milyon dolara çıktı."
Ekonomi,TL mevduat ve KKM'de zorunlu karşılık oranları artırıldı,Türk Lirası mevduat ve Kur Korumalı Mevduat hesaplarına uygulanan zorunlu karşılık oranları artırıldı.
Ekonomi,Merkez Bankası faiz kararını açıkladı,"Türkiye Cumhuriyet Merkez Bankası Para Politikası Kurulu, politika faizi olan bir hafta vadeli repo ihale faiz oranını yüzde 50 düzeyinde sabit bıraktı."
Ekonomi,"Kırsal kalkınmaya 11,4 milyar liralık yatırım yapıldı","Kırsal Kalkınma Yatırımlarının Desteklenmesi Programı (KKYDP) kapsamında bugüne kadar tamamlanan 16 bin 952 proje için yatırımcılara 5,3 milyar lira hibe desteği ödemesi yapıldı ve 11,4 milyar lira tutarındaki yatırımın faaliyete geçmesi sağlandı."
Ekonomi,Vergi ihbarında sosyal medya dönemi başladı,"Kayıt dışı ekonomiyle mücadele kapsamında vatandaşların ihbar ve şikayetlerini kolaylıkla iletebilmeleri amacıyla ihbar kanalları güncellendi. Vatandaşlar, sosyal medyadan ve Gelir İdaresi Başkanlığı'nın iletişim kanallarından ihbarda bulunabilecek."
Ekonomi,Bakan Kacır: Yaklaşık 40 ülkenin seması Türk insansız hava araçlarınca muhafaza ediliyor,"Sanayi ve Teknoloji Bakanı Kacır, ""Türkiye, insansız hava araçlarında dünyada bir numaradır, 40'a yakın ülkenin semaları Türk insansız hava araçlarınca muhafaza edilmektedir"" dedi."
Ekonomi,3 ayda 9 binden fazla ölçü aleti ve sanayi ürünü denetlendi,"Sanayi ve Teknoloji Bakanlığı, yılın 3 aylık döneminde 9 bin 68 ölçü aleti ile sanayi ürününü denetledi, uygunsuzluk tespit edilen 1044 ürün için toplam 19,2 milyon lira idari para cezası uyguladı."
Ekonomi,Tüketici güven endeksi mayısta arttı,"Tüketici güven endeksi, mayıs ayında, aylık bazda yüzde 0,1 artarak 80,51 oldu."
Ekonomi,"Yapı ruhsatı verilen bina sayısı yüzde 19,9 arttı","TÜİK, Belediyeler tarafından yapı ruhsatı verilen daire sayısının geçen yılın ocak-mart dönemine göre yüzde 35,5, bina sayısının yüzde 19,9, yüz ölçümünün ise yüzde 33,4 arttığını duyurdu."
Ekonomi,"Fatih, Karadeniz'de yeni keşiflere yelken açtı","Enerji ve Tabii Kaynaklar Bakanı Alparslan bayraktar, Fatih sondaj gemisinin Sakarya Gaz Sahası'ndaki Göktepe-2 kuyusunda sondaj çalışmalarına başladığını duyurdu."
Ekonomi,"Bakan Kacır, Bosna Hersek'te temaslarda bulundu","Sanayi ve Teknoloji Bakanı Mehmet Fatih Kacır, 13'üncüsü düzenlenen Saraybosna İş Forumu'nda (SBF) Bosna Hersekli bakanlarla görüştü."
Ekonomi,"Fitch'ten küresel hizmet enflasyonunun ""yapışkan"" kalacağı beklentisi","Uluslararası kredi derecelendirme kuruluşu Fitch Ratings, küresel enflasyon oranlarının düştüğünü ancak hizmet sektörü fiyatlarındaki inatçı artışın bu düşüşleri aksattığını belirtti."
Ekonomi,Borsa rekor tazeledi,"Borsa İstanbul'da BIST 100 endeksi, yüzde 0,04 değer kazancıyla günü 10.899,28 puandan tamamlayarak tüm zamanların en yüksek günlük kapanışını gerçekleştirdi."
Ekonomi,Uraloğlu: Demir yolları konusunda son zamanlarda ciddi yatırımlar yaptık,"Ulaştırma ve Altyapı Bakanı Abdulkadir Uraloğlu, Türkiye’nin küresel lojistik sektöründe stratejik bir konumda bulunduğunu belirterek, ""Özellikle demir yolları konusunda son zamanlarda çok ciddi yatırımlar yaptık ve yapmaya devam ediyoruz."" dedi."
Ekonomi,Kapadokya'da 2024 yılında turizm rekoru bekleniyor,"Tarihi, kültürel ve doğal güzelliklerinin yanı sıra farklı tur aktiviteleriyle dünyanın her köşesinden turistlerin dikkatini çeken Kapadokya'da, bu yıl da ziyaretçi rekoru kırılması bekleniyor."
Ekonomi,Türk savunma sanayii BSDA 2024 Fuarı’nda yerini aldı,"Türk savunma sanayii firmaları, 22-24 Mayıs tarihleri arasında Romanya’da düzenlenen “BSDA 2024 Fuarı”na katıldı."
Ekonomi,Deri konfeksiyonunda Türkiye üretim merkezi haline geldi,"Türkiye Deri Konfeksiyoncuları Derneği (TDKD) Başkanı Cengiz Sarıgül, Türkiye'nin deri konfeksiyonunda üst kalitede hizmet verdiğini belirterek, ""Dünyada hangi ünlü marka aklınıza geliyorsa bunların ürünlerini Türkiye'deki bizim konfeksiyonlarımız üretiyor"" dedi."
Ekonomi,Halkbank: Faiz oranı değişikliği geçmişe yönelik uygulanmadı,"Halkbank, esnaf kredileri faiz oranlarının 1 Mayıs'tan itibaren geçerli olmak üzere güncellendiğini, faiz oranı değişikliğinin geçmişe yönelik olarak uygulanmadığını bildirdi."
Ekonomi,Turizm sektörünün profesyonelleri İstanbul'da buluşacak,"2024 turizminin yol haritasının da çizildiği İstanbul Turizm Fuarı’nın ikincisi 9-10 Ekim 2024 tarihlerinde düzenlenecek. Dünyanın birçok noktasından turizm profesyonellerini buluşturacak fuarda, turizm pazarını canlandırmak üzere yeni ürün ve destinasyonların tanıtımı da yapılacak."
Ekonomi,Borsa günün ilk yarısında yükseldi,"Borsa İstanbul'da BIST 100 endeksi, günün ilk yarısında yüzde 0,27 değer kazanarak 10.924,67 puana çıktı."
Ekonomi,Turizm sektörünün profesyonelleri İstanbul'da buluşacak,"2024 turizminin yol haritasının da çizildiği İstanbul Turizm Fuarı’nın ikincisi 9-10 Ekim 2024 tarihlerinde düzenlenecek. Dünyanın birçok noktasından turizm profesyonellerini buluşturacak fuarda, turizm pazarını canlandırmak üzere yeni ürün ve destinasyonların tanıtımı da yapılacak."
Ekonomi,Borsa günün ilk yarısında yükseldi,"Borsa İstanbul'da BIST 100 endeksi, günün ilk yarısında yüzde 0,27 değer kazanarak 10.924,67 puana çıktı."
Ekonomi,Togg'a özel finansman desteğinde süre uzatıldı,"Türkiye'nin yerli ve milli otomobili Togg'un T10X modeline özel 800 bin liralık kredi kampanyasının süresi uzatıldı. Kampanya, 26 Mayıs Pazar günü sonuna kadar devam edecek."
Ekonomi,Kargo şirketine 'kimliksiz teslimat'tan 82 bin lira ceza,"Bolu'da bir kargo şirketi, kimlik sormadan teslimat yapılarak cep telefonu içeren gönderinin kaybolmasında ""ağır kusurlu"" bulundu. Mahkeme, kargo şirketinin 82 bin lira ödemesine hükmetti."
Ekonomi,"Bakan Şimşek: Enflasyon yıl sonu 30'lu, bir sonraki yıl 10'lu rakamları görür","Hazine ve Maliye Bakanı Mehmet Şimşek, enflasyon rakamlarına ilişkin, ""Haziran ayından sonra enflasyon çok hızlı şekilde düşecek. Enflasyon yıl sonu 30'lu, bir sonraki yıl 10'lu rakamları görür"" açıklamasında bulundu."
Ekonomi,Kripto para piyasasında gözler Ethereum ETF kararında,"Kripto para piyasasında gözler, ABD Menkul Kıymetler ve Borsa Komisyonunun (SEC) spot Ethereum borsa yatırım fonu (ETF) başvurularına ilişkin vereceği karara çevrildi."
Ekonomi,İş gücü girdi endeksleri arttı,"Sanayi, inşaat ve ticaret-hizmet sektörleri toplamında istihdam endeksi, bu yılın ilk çeyreğinde yıllık bazda yüzde 3,4 yükseldi."
Ekonomi,Artırılan kredi limitleri hayvancılık sektörünün yüzünü güldürdü,"Türkiye Süt Üreticileri Merkez Birliği Yönetim Kurulu Başkanı Tevfik Keskin, Cumhurbaşkanı Recep Tayyip Erdoğan'ın müjdesini verdiği artırılan kredi limitlerine ilişkin, ""Kredi kullanarak hayvan alacak üreticilerimiz bunu çok olumlu karşıladı. Üreticilerin yanında küçük aile işletmeleri için de çok önemli bir müjde"" dedi."
Ekonomi,Bireysel Emeklilik Sistemi 1 trilyon lirayı aştı,"Bireysel emeklilik sistemi (BES) ve otomatik katılım sisteminde (OKS) devlet katkısı dahil toplam fon büyüklüğü kurulduğu günden bu yana ilk defa 1 trilyon lirayı aşarken, katılımcı sayısı 16,4 milyona yaklaştı."
Ekonomi,Sahte yetkili servislere 15 milyon lira ceza,"Ticaret Bakanlığı, internet arama motorları ve sosyal medya üzerinden yapılan reklamlara ilişkin yürütülen incelemeler sonucunda son iki yılda sahte yetkili servislere 15 milyon TL idari para cezası uyguladı."
Ekonomi,"Kurban kimlik bilgileri ""Tarım Cebimde"" ile üç tık uzakta","Tarım ve Orman Bakanı İbrahim Yumaklı, ""Tarım Cebimde uygulaması ile vatandaşlarımız, satın alacakları hayvanların kontrollerini yapabiliyor. Çok kısa süre içinde hayvanın şeceresi görülebiliyor."" dedi."
Ekonomi,Yurt içinde gözler TCMB'nin faiz kararına çevrildi,Merkez Bankası Para Politikası Kurulu faiz kararını yarın açıklayacak. Banka bir önceki toplantıda politika faizini yüzde 50 seviyesinde sabit tutmuştu.
Ekonomi,Küresel piyasalar Fed'e yönelik faiz beklentisiyle pozitif seyrediyor,"Küresel piyasalar, ABD Merkez Bankasının (Fed) bu yıl faiz indirimine gideceğine yönelik iyimserliğin korunmasıyla pozitif seyrederken, yoğun veri gündemi ve Nvidia'nın finansal sonuçları yatırımcıların odağında. Yurt içinde ise gözler yarın açıklanacak faiz kararına çevrildi."
Ekonomi,Bakan Bolat: Yenilenebilir enerji alanında işbirliği Çekya ile ilişkilerimizde gelecek vadediyor,"Ticaret Bakanı Ömer Bolat, Çekya ile Türkiye arasındaki işbirliği fırsatlarına değinerek ""Yeşil ve dijital dönüşüm ve yeni üretim modelleri bağlamında otomotiv ve savunma endüstrisi ile enerji ve hava yolu sektörü gibi alanlarda önemli potansiyel görüyoruz"" dedi"
Ekonomi,Emekliler kamu sosyal tesislerinden yüzde 15 indirimli faydalanacak,Kamu kurum ve kuruluşlarına ait sosyal tesislerde emeklilere yıl sonuna kadar yüzde 15 indirim uygulanacak.
Ekonomi,"Türkiye, Güney Avrupa'nın turizmde 'en iyi gelişen' ülkesi oldu","Türkiye, Dünya Ekonomik Forumu'nun (WEF) Surrey Üniversitesi ile hazırladığı Seyahat ve Turizm Endeksi 2024 (TTDI) raporuna göre, Güney Avrupa'nın seyahat ve turizmde ""en iyi gelişen"" ülkesi oldu."
Ekonomi,"Merkez Bankası Başkanı Karahan, Meclis'te sunum yapacak","Türkiye Cumhuriyet Merkez Bankası (TCMB) Başkanı Fatih Karahan, TBMM Plan ve Bütçe Komisyonu'na 4 Haziran'da sunum yapacak."
Ekonomi,Tıbbi cihaz sektöründeki ihracatçılara destek,Avrupa Birliği pazarında yer almak isteyen tıbbi cihaz üreticilerine Türk Eximbank aracılığıyla kredi kolaylığı sağlanacak.
Ekonomi,Borsa günün ilk yarısında rekor seviyeyi gördü,"Borsa İstanbul'da BIST 100 endeksi, günün ilk yarısında 11.078,09 puanla rekor seviyeyi gördü."
Ekonomi,PTT'den vatandaşlara 'sahte gönderi etiketi' uyarısı,"Ulaştırma ve Altyapı Bakanlığına bağlı faaliyetlerini sürdüren PTT AŞ, vatandaşları sahte gönderi etiketi düzenleyen dolandırıcılara karşı uyardı."
Ekonomi,Bakan Göktaş: 2002'den bugüne kadar istihdam edilen engelli sayısı tam 12 kat arttı,"Bakan Göktaş, ""2002'den bugüne kadar istihdam edilen engelli sayısı tam 12 kat arttı. Yürüttüğümüz çalışmalarla bugün engelli memur sayısı 68 bin 396'ya ulaştı"" açıklamasını yaptı."
Ekonomi,Girişimci adaylarına 900 bin lira yatırım desteği,"Türkiye Odalar ve Borsalar Birliği Ekonomi ve Teknoloji Üniversitesi, ASELSAN ve Konya Ticaret Odası Karatay Üniversitesi işbirliğinde yürütülen BİGG GARAJ programı kapsamında girişimci adaylarına 900 bin lira yatırım desteği verilecek."
Ekonomi,Finansal Okuryazarlık Platformu hayata geçiyor,"Sermaye Piyasası Kurulu, finansal okuryazarlığın artırılması ve yaygınlaştırılması amacıyla Finansal Okuryazarlık Platformu'nun hayata geçirileceğini duyurdu."
Ekonomi,"İstanbul İhracatçı Birliklerinden yılın ilk 4 ayında 3,9 milyar dolarlık ihracat","İstanbul İhracatçı Birlikleri, yılın ilk 4 ayında 2023'ün aynı dönemine göre yüzde 8,2 artış ile 3,9 milyar dolar tutarında ihracat gerçekleştirdi. Ocak-nisan döneminde değer bazında en fazla ihracat 317 milyon dolar ile Irak'a gerçekleştirildi. Irak'ın ardından en fazla Almanya, ABD, İtalya ve Birleşik Krallık'a ihracat yapıldı."
Ekonomi,Bitcoin 71 bin dolara yaklaştı,"Kripto para birimi Bitcoin’in fiyatı 71 bin dolara yaklaşırken, Ethereum’un fiyatı yüzde 18’den fazla artarak 3 bin 600 doları geçti."
Ekonomi,Yatırımcılara portföy çeşitliliği önerisi,"FODER Yönetim Kurulu Başkanı Öztürk, yatırımcıları, yüksek oynaklık gösteren hisselere yatırım yaparken dikkatli olmaları konusunda uyardı, risk yönetimi açısından ""portföy çeşitlendirme"" stratejisi uygulamalarını önerdi."
