Kategori,Başlık,İçerik
ÖZEL HABER,Küçük atölyede geri dönüşüm için büyük emek,"Müzisyen Zeliha Sunal, geri dönüşüm malzemelerinden tasarladığı ürün ve kıyafetlerle de tanınıyor. Sunal, evinde oluşturduğu küçük atölyesinde farkındalık yaratmaya çalışıyor."
Çevre,'Sıfır Atık Projesi' ile ilgili genelge Resmi Gazete'de yayımlandı,"Cumhurbaşkanı Recep Tayyip Erdoğan'ın eşi Emine Erdoğan'ın başlattığı 'Sıfır Atık' projesiyle ilgili genelge, Resmi Gazete'de yayımlandı."
Çevre,"Türkiye, denizcilik sektöründe biyoyakıt kullanımına başlıyor","Türkiye, küresel iklim değişikliğine etkisi nedeniyle fosil yakıtlara alternatif olarak tercih edilen biyoyakıtları, denizcilik sektöründe kullanmaya hazırlanıyor."
Çevre,Orman yangınıyla mücadelede yerli yapay zeka sistemi uluslararası arenada yarışacak,"Tarım ve Orman Bakanı İbrahim Yumaklı, orman yangınlarıyla mücadelede kullanılan yapay zeka destekli Karar Destek Sistemi'nin, Dünya Bilgi Toplumu Zirvesi Ödülleri'ne aday gösterildiğini duyurdu."
Çevre,"İklim taahhütlerine rağmen, petrol ve gaz üreticileri yatırımlarını 4 katına çıkarmayı planlıyor","Küresel sıcaklık artışını 1,5 dereceyle sınırlandırma taahhüdüne rağmen, dünya çapındaki petrol ve gaz üreticilerinin yeni sahalarında 2030'a kadar 4 kat artış olabileceği hesaplandı."
Çevre,Marmara Denizi’nde denizanası istilası,Marmara Denizi’nde kilometrelerce uzunlukta yayılan denizanası havadan çekilen görüntülerle gözler önüne serildi. Uzmanlar denizanası popülasyonu artışında küresel ısınma ve deniz kirliliğinin etkisi olduğunu söyledi.
Çevre,Bakan Yumaklı: Su zengini olmadığımız için suyumuzu verimli kullanmamız gerekir,"Bakan Yumaklı, Türkiye'nin su zengini bir ülke olmadığına işaret ederek, ""Su zengini olmadığımız için suyumuzu verimli kullanmamız gerekir. Bu amaç etrafında, kamu kurumlarımız, sivil toplum kuruluşları ve özel sektör işbirliğinde çalışmalarımızı hız kesmeden sürdüreceğiz"" açıklamasını yaptı."
Çevre,"Kızılhaç, dünya genelinde her 4 kişiden 1'inin güvenli içme suyuna erişemediğini bildirdi","Uluslararası Kızılhaç Komitesi (ICRC), dünya genelinde her 4 kişiden 1'inin güvenli bir şekilde yönetilen içme suyuna erişemediğini ve çatışma bölgelerinde buna erişmenin imkansız olduğunu belirtti."
Çevre,Türkiye’nin su karnesi,Küresel iklim krizi ile birlikte tüm dünyanın karşı karşıya olduğu su krizi kendini her geçen gün daha fazla hissettiriyor. Gelin ‘22 Mart Dünya Su Günü’nde Türkiye’nin su verilerine yakından bakalım.
Çevre,Pet şişeden içilen su mu plastik mi?,"Yaşamın kaynağı olan su, hastalıklara kapı mı aralıyor? Bu soruyu akıllara getiren ABD'de yapılan yeni bir araştırma. 1 litrelik pet şişedeki suda yaklaşık 240 bin nanoplastik tespit edildi. Nanoplastikler, plastiklerin parçalanmasıyla oluşuyor. Bu küçücük parçaların ağız yoluyla vücuda alınmasının hastalıklara davetiye çıkardığı belirtiliyor."
Çevre,Japonya'da kimyasal madde taşıyan tanker alabora oldu,Güney Kore bandıralı kimyasal madde taşıyan tankerin Japonya'nın batı kıyısı açıklarında alabora olduğu ve mürettebattaki 5 kişinin arandığı bildirildi.
Çevre,Leylek ormanı şenlendi: 7 bin kilometre uçup geldiler,"Afrika’dan 7 bin kilometre yol kat ederek Kızılırmak Deltası Kuş Cenneti’ne gelen leylekler, apartmanı andıran ‘Leylek ormanı’na yerleşti."
Çevre,Bakan Bayraktar: Türkiye 30 yılda karbon emisyonlarını nötr hale getirecek,"Bakan Bayraktar, ""Türkiye 30 yılda karbon emisyonlarını nötr hale getirecek ve daha çevreci, daha yeşil daha çok yenilenebilir enerjiyi kullanan bir ülke haline gelecek"" açıklamasını yaptı."
Çevre,"Deniz suyu sıcaklığının arttığı Rodos'ta Kızıldeniz'den gelen ""göçmen denizanası"" görüldü","Deniz suyu sıcaklığının bu yıl normalin 3 derece üzerinde olduğu Rodos Adası'nda, çapı 1 metreye kadar ulaşan ve Kızıldeniz üzerinden gelen bir tür denizanası olan göçmen denizanasının (Rhopilema Nomadica) tespit edildiği bildirildi."
Çevre,"Samsun'da ""Sıfır Atık"" uygulamasıyla 90 bin 225 ağaç kesilmekten kurtarıldı","Samsun Çevre, Şehircilik ve İklim Değişikliği Müdürlüğünce, kamu kurum ve kuruluşları ile sanayi tesislerinde uygulanan ""Sıfır Atık"" projesi ile 90 bin 225 ağacın kesilmekten kurtarıldığı bildirildi."
Çevre,İstanbul’un sinsi düşmanı: Trafik kaynaklı hava kirliliği,"İstanbul’da, hava kirliliğine yol açan en büyük faktörün trafik ve motorlu araçlar olduğu belirtiliyor. Kirlilikte aslan payı ise dizel araçların atmosfere saldığı zehirli partikül madde ve gazlara ait. Birçok hastalığa neden olan PM10, PM2.5 ve NO2 gibi kirleticilerden korunmak için trafiğin yoğun olduğu noktalarda maske kullanılması öneriliyor."
Çevre,Tunceli'de envanter çalışması: 11 türde 10 bin kuş var,Tunceli Valisi Bülent Tekbıyıkoğlu'nun talimatı sonrası su kuşlarına yönelik envanter çalışması yapıldı. Keban Barajı ile Uzunçayır Baraj Gölü'nde sayıları 10 bini bulan 11 su kuşu türü tespit edildi.
Çevre,Diyarbakır ile Elazığ arasındaki bağlantı yolu ulaşıma açıldı,Diyarbakır Büyükşehir Belediyesi ve Elazığ İl Özel İdaresi işbirliğiyle yenilenen Hani ilçesi Çukur Mahallesi-Elazığ Üçocak beldesi arasındaki bağlantı yolu hizmete açıldı.
Çevre,Türk akademisyenler Antarktika'daki kirliliği mercek altına alacak,"Türkiye, kutup projeleri kapsamında yaptığı çalışmalarla bir yandan Antarktika'daki kirliliğin sebeplerine ışık tutacak diğer yandan Antarktika Antlaşması'nda ""danışman ülke"" olma şansını artıracak."
Çevre,Bilim insanları dünyanın en eski ormanını bulduklarını açıkladı,"Bilim insanları İngiltere'nin Güneybatı kıyılarında bulunan falezlerde, dünyanın bilinen en eski fosilleşmiş ormanını bulduklarına inanıyor."
Çevre,Dünyanın en sıcak şubat ayında yeni rekorlar kırıldı,"AB'nin iklim servisi, geçen ayın modern zamanların en sıcak Şubat ayı olduğunu, aylık sıcaklığın art arda dokuz rekor kırdığını söyledi."
ÖZEL HABER,Küllerinden doğuş: Marmaris ormanları,Marmaris’in ormanlık alanları 2021 ve 2022 yazında Cumhuriyet tarihinin en büyük yangınlarını yaşadı. Sadece ağaçların değil tüm yaşamın büyük yara aldığı yangınların ardından bölgedeki son duruma gelin yakından bakalım.
ÖZEL HABER,"İklim krizinin yeni sonuçları: İklim mültecileri, iklim faşizmi","İklim krizinin etkilerinin artması beraberinde iklim göçlerini getirebilir. Yükselen deniz seviyesinden kaçanlar iç bölgelere, sıcak havadan kaçanlar kuzeye yönelebilir. Bu hareketlerin olası sonuçlarından biri de iklim faşizmi. Oxford Üniversitesinden Prof. Tim Palmer ile Ankara Üniversitesinden Prof. Dr. Nesrin Algan TRT Haber için değerlendirdi."
Çevre,Güney Afrika'da 499 gergedan boynuzları için katledildi,Nesli tükenme tehdidi altındaki gergedan türlerinin en iyi korunduğu ülkelerden Güney Afrika Cumhuriyeti'nde geçen yıl 499 gergedan kaçak avcılar tarafından değerli boynuzları için katledildi.
Çevre,Bolivya'da şiddetli yağışlardan binlerce kişi etkilendi,"Güney Amerika ülkesi Bolivya'da, şiddetli yağışların yol açtığı sel ve toprak kaymasından binlerce kişi olumsuz etkilendi."
Çevre,Sıcaklık ve kirlilik denizanası popülasyonunu arttırıyor,"Bandırma Onyedi Eylül Üniversitesi Denizcilik Fakültesi Dekanı Prof. Dr. Mustafa Sarı, mevsim normallerinin üzerinde seyreden sıcaklık ve kirliliğin, Marmara Denizi'nde denizanası popülasyonunu arttırdığını söyledi."
ÖZEL HABER,3 bin göz sürekli yaban hayatını tarıyor,"Anadolu Parsı’nın hala yaşıyor olduğu, Karakulak’ın ormanın derinliklerinde saklandığı ya da yaban keçilerinin inanılmaz kaya tırmanışını yeniden görebilmemizin arka planında 3 bin göz bulunuyor. Doğa Koruma ve Milli Parklar tarafından yerleştirilen fotokapanlar doğanın bekçiliğini yapıyor."
Çevre,Tırnak büyüklüğündeki balığın matkap kadar ses çıkardığı keşfedildi,"Bilim insanları, küçük, şeffaf bir balığın bir beton delme matkabı kadar yüksek ses çıkardığını keşfetti."
Çevre,"Toros Dağları'nın eteğindeki mahallede inşa edilen gölet yöre halkına ""can suyu"" olacak","Mersin'in Mut ilçesinde, kıraç topraklara sahip kırsal mahallede yapımına başlanan gölet aracılığıyla tarımsal alanlar sulama imkanına kavuşacak."
Çevre,Amazon yağmur ormanlarında dünyanın en büyük yılan türü keşfedildi,"Bilim insanları, Amazon'da daha önce belgelenmemiş, 7,5 metreye kadar büyüyebilen ve 500 kg'a yakın ağırlığa sahip dev bir anakonda türü keşfettiler; bu, onu dünyada şimdiye kadar bilinen en büyük ve en ağır yılan yapıyor."
Çevre,Afganistan'da toprak kayması ve çığ düşmesi sonucu en az 27 kişi yaşamını yitirdi,Afganistan'ın Nuristan ve Pençşir vilayetlerinde şiddetli kar yağışının ardından meydana gelen toprak kayması ve çığ düşmesi sonucu en az 27 kişi hayatını kaybetti.
Çevre,"Horseshoe Adası'ndaki göller için ""özel koruma alanı"" teklifi","Türkiye'nin bilimsel araştırma kampının bulunduğu Antarktika'nın Horseshoe Adası üzerinde 4 göl Türkiye'nin de teklifiyle özel koruma alanı olacak. ​​​​​​​Dr. Atilla Yılmaz, teklifin sunulduğunu ve bu yıl onaylanacağını düşündüklerini söyledi."
Çevre,Koruma tedbirleri sayesinde Van'da görülen yaban kazlarının sayısı arttı,"Göçmen kuşların yolculuğunda en önemli güzergahlardan olan ve ""kesin korunacak hassas alan"" ilan edilen Erçek Gölü kıyılarında alınan önlemler, bölgede görülen yaban kazı sayısını artırdı."
Çevre,Hakkari'de Entegre Katı Atık Tesisi faaliyete alındı,Hakkari'de çöp sorununun çözüme kavuşturulması amacıyla inşa edilen Entegre Katı Atık Tesisi'nde çöp ayrıştırma çalışmalarına başlandı.
Çevre,Perdeli yapay sulak alan sistemi tarımda su israfını azaltıyor,"Bursa Teknik Üniversitesi Rektör Yardımcısı Prof. Dr. Sinan Uyanık, tarımsal faaliyette oluşan drenaj suyunun yeniden kullanılabilmesi amacıyla perdeli yapay sulak alan sistemini geliştirdiklerini bildirdi."
Çevre,"İklim değişikliği ve kuraklık, ayçiçeği üretimini etkiledi","Tekirdağ Namık Kemal Üniversitesi Ziraat Fakültesi Öğretim Üyesi Prof. Dr. Fadul Önemli, iklim değişikliği ve kuraklığın ayçiçeği üretimini etkilediğini belirtti."
Çevre,Antalya'da yaralı caretta caretta kurtarıldı,"Antalya'nın Manavgat ilçesinde, yaralı halde bulunan caretta caretta, tedavi edildikten sonra denize bırakıldı."
Çevre,Arılar kış uykusuna yatmadı: Martta toplu arı ölümleri görülebilir,"Kış aylarında sıcaklıkların mevsim normallerinin üzerinde seyretmesi doğanın dengesini bozuyor. Birçok hayvan gibi arılar da bu değişimden etkileniyor. Yurdun büyük kesiminde arılar, kış uykusu olarak tabir edilen kış salkımına girmedi. Mart ayında bastırması beklenen kış koşullarının toplu arı ölümlerine yol açmasından endişe ediliyor."
Çevre,Araştırma: İklim değişikliğinin getirdiği dengesiz hava koşulları çekirge istilalarını artıracak,"Araştırmacılar, iklim değişikliğinin getirdiği dengesiz hava koşullarının çekirge istilalarını arttıracağını bildirdi."
Çevre,Antalya’da görülen buz kütlelerinin nedeni graupel mi?,Şiddetli yağış Antalya’da sele neden oldu. Sel sırasında su üstünde yüzen buz parçaları ise merak uyandırdı. Uzmanlar buz parçalarının “graupel” adı verilen bir yağış türü olduğunu söylüyor. Halk arasında “bulgur tanesi” ya da “kuzu dişi” olarak bilinen bu meteorolojik hadise genellikle denize kıyısı olan yerlerde görülüyor.
Çevre,Havadaki parçacıklar izlenerek küresel ısınmanın nedenleri araştırılacak,"Türk Hava Kurumu (THK) Üniversitesinin, Türk Uzay Ajansı (TUA) koordinasyonunda başlattığı uluslararası projede, havadaki çöl tozu gibi çeşitli parçacıkların (aerosol), küresel iklim değişikliğine etkilerini ortaya koymayı hedefleyen cihazlar geliştirilecek."
Çevre,İklim değişikliğinin delili: Güney Okyanusu'nda yüzen buz dağları,"8. Ulusal Antarktika Bilim Seferi'nde görev alan bilim insanları, seyir sırasında geçtikleri Güney Okyanusu boyunca daha önce olmadığı kadar çok buzdağı bulunduğunu gözlemledi."
Çevre,2023’te Türkiye’de 1475 sıra dışı hava olayı yaşandı,"Türkiye 2023 yılını da meteorolojik olaylar açısından hareketli geçirdi. Şiddetli yağış, sel, fırtına, dolu… Yıl boyunca 1475 sıra dışı hava olayı kayıtlara geçti."
Çevre,İstanbul'da hava kirliliği geçen yıl yaklaşık yüzde 3 arttı,"İstanbul'da hava kirliliği 2023'te bir önceki yıla göre yaklaşık yüzde 3 artış gösterdi. Geçen yıl, 2022'ye oranla hava kirliliğinin en fazla arttığı istasyonlar sırasıyla yüzde 69,54 ile Yenibosna, yüzde 19,77 ile Üsküdar-2, yüzde 19,56 ile Bağcılar, yüzde 19,46 ile Başakşehir, yüzde 14,92 ile Kartal, yüzde 12,60 ile Büyükada olarak kaydedildi."
Çevre,Antarktika'dan Avustralya'ya giden penguen şaşkınlık yarattı,"Bir kral penguen, Antarktika'daki evinden yüzlerce kilometre uzakta, Avustralya'nın güneyindeki bir sahilde görüldü."
Çevre,Japon bilim insanları: Nemo'lar yalnız kalmayı seviyor,"Japon bilim insanlarının yaptığı araştırmada, palyaço balıklarının kendi türlerine karşı saldırgan davrandığı ortaya çıktı. Nemo'lar kendi türlerine katlanamıyor."
Çevre,“Sulak Alanlar ve İnsanlık Refahı”,"2 Şubat dünyada ‘Sulak Alanlar Günü’ olarak kutlanıyor. Tarım ve Orman Bakanlığı, Türkiye’de 1,6 milyon hektar büyüklüğünde 6 bin 418 sulak alanın kayıt altına aldığını açıkladı. Bakanlık bu yılki temayı ise “Sulak Alanlar ve İnsanlık Refahı” olarak belirledi."
Çevre,Deniz tabanının bozulması iklim değişikliğinin hızlanmasına yol açabilir,"Bilim insanları, trol ile balık avlama gibi faaliyetler nedeniyle deniz tabanının bozulmasının, iklim değişikliğinin hızını artırabileceğini tespit etti."
Çevre,Ecdat emaneti zeytinliklerin sayımları yapılarak koruma altına alınıyor,"Vakıflar Genel Müdürlüğü, ecdat emaneti zeytinliklerin dronlar aracılığıyla havadan ve yerden ölçüm tekniklerini kullanarak sayımını yapıyor."
Çevre,Atmosferdeki karbondioksit oranı 144 yılda yüzde 45 arttı,Atmosferdeki karbondioksit oranı 1880 yılından bu yana yüzde 45 artarak rekor seviyeye ulaştı.
Çevre,Tekirdağ'da geliştirilen yerli hibrit ayçiçeği tohumu Rusya'da yeşeriyor,Tekirdağ'da bir firma tarafından geliştirilen ve üretim izni alınan yerli hibrit ayçiçeği tohumu Rusya'ya ihraç ediliyor.
Çevre,"Meclis'teki ""Sıfır Atık"" çalışmalarıyla 17 ton sera gazı salınımı engellendi","Sıfır Atık Projesi kapsamında, Meclis'te 2023 yılında 105 ton kağıt, 2 ton plastik, 3 ton cam, 1 ton metal, 600 kilogram organik atık, 4250 litre bitkisel atık yağ, 1500 litre atık motor yağı geri dönüştürüldü."
Çevre,Beyaz gergedanda tüp bebek tedavisi,Dünyada sadece iki tane kalan kuzey beyaz gergedanının yok oluşun eşiğinden dönmesi için ilk kez uygulanan tüp bebek tedavisi umut veriyor.
Çevre,Akdeniz'deki plastik kirliliği alarm veriyor,"Uzmanlar, Akdeniz'deki kirlilik yüküne yılda ortalama 229 bin 465 ton plastik atık eklendiği, plastiklerin üretim ve tüketimindeki artışın devam etmesi durumunda kirliliğin gelecek 10 yılda 3 kat artacağı uyarısında bulunuyor."
Çevre,Muş'ta 34 toy kuşu görüntülendi,Doğa Koruma Milli Parklar (DKMP) 14. Bölge Müdürlüğü ekiplerince Muş'ta 34 toy kuşu görüntülendi.
Çevre,Ormancılık yatırımlarında fidan üretimine odaklanıldı,"Orman Genel Müdürlüğüne (OGM), bu yıl içinde yapılacak ve 66 ilde uygulanacak fidan üretimi, bakımı ve fidanlıkların alt yapısını güçlendirecek ekipmanlar için 1 milyar 350 milyon lira ödenek sağlandı."
Çevre,İzmir'de sulak alanlardaki kış kuşu sayısında artış gözleniyor,"İzmir'de bulunan sulak alanlardaki kış kuşu sayısında, geçen yıla göre artış gözlemleniyor."
Çevre,Kastamonu'nun Hanönü ilçesinde 35 endemik tür tespit edildi,Kastamonu'nun Hanönü ilçesinde yapılan çalışmalar sonucunda 35 endemik tür tespit edildiği bildirildi.
Çevre,"Nesli tehlike altında olan semenderi, sulama göletinde şans eseri bulundu",Bursa’da bir vatandaşın dikkati sonucu sulama göletinde nesli tükenmekte olan Anadolu şeritli semenderi bulundu. Semenderi su içi bitkilerince zengin farklı bir alana taşındı.
Çevre,Enerji sektörünün yükselen yıldızı: Depolama,"İklim krizinin etkisini hızlandırdığı dünyada yenilenebilir enerjinin önemi de paralel olarak artıyor. Türkiye’de de güneşten, rüzgardan, sudan devlet ve özel sektör yatırımlarıyla yenilenebilir enerji üretimi mevcut. Ancak bu üretimden elde edilen enerjinin daha verimli kullanımı depolama ile mümkün."
Çevre,Sonbahar yağışları kuraklığa ilaç oldu,"Sonbaharda normalin üzerinde yağış sayesinde barajların doldu. Uzmanlar, yağışların kuraklığa ilaç olduğunu söyledi."
Çevre,Efteni Gölü Kuş Cenneti'nde 22 türden 2 bin 111 kuş listelendi,Düzce Efteni Gölü Kuş Cenneti'nde yapılan sayımda 22 türden 2 bin 111 kuş kayıt altına alındı.
Çevre,Sakarya'da beyaz örtüyle kaplanan Çam Dağı'nın eteklerini kardelenler süsledi,"Sakarya'nın Kocaali ve Hendek ilçeleri arasında bulunan 900 rakımlı Çam Dağı bölgesinde açan kardelenler, yeşil gövdesiyle ormanlara, beyaz çiçeğiyle kar örtüsüne ahenk kattı."
Çevre,"""Türkiye Yeşil Sanayi Projesi"" Lüleburgaz'da tanıtıldı","Kırklareli'nin Lüleburgaz ilçesinde ""Türkiye Yeşil Sanayi Projesi"" bilgilendirme toplantısı gerçekleştirildi."
Çevre,"Brezilya, Amazonlardaki ormansızlaşmanın geçen yıl yüzde 50 azaldığını açıkladı","Brezilya Çevre ve İklim Değişikliği Bakanlığı, Amazonlardaki ormansızlaşmanın 2023 sonuna kadar yüzde 50 azaldığını duyurdu."
Çevre,Araştırma: 2023'te okyanus suyu sıcaklıkları 5. kez üst üste rekor kırdı,"Çin'in öncülüğünde yapılan uluslararası araştırma, 2023'te okyanus suyu sıcaklıklarının 5. kez üst üste rekor kırdığını ve sera gazı salınımının azaltılması halinde bile yüz yıl boyunca artmaya devam edeceğini ortaya koydu."
Çevre,ABD'ye kış aylarının en düşük sıcaklıklarını yaşatacak kutup soğukları geliyor,"ABD'ye kutup soğuklarının yaklaştığı, ülkenin orta kesimlerinde kış aylarının en soğuk günlerinin yaşanmasının beklendiği belirtildi."
Çevre,2023 en sıcak yıl olarak kayıtlara geçti,"2023 yılı, iklim değişikliğinin yol açtığı ve doğal El Nino hava olayının da etkisiyle, kayıtlara geçen en sıcak yıl olarak teyit edildi."
Çevre,Bilim insanları 518 milyon yıllık etçil solucan fosili buldu,"New Atlas'ın haberine göre, Bristol Üniversitesi araştırmacıları, ""Timorebestia"" ya da ""terör yaratığı"" olarak adlandırılan solucanın, suda yaşayan ilk etobur canlılardan olduğunu düşünüyor."
