Kategori,Başlık,İçerik
Kültür-Sanat,Hatay'da hasar gören eserlerin restorasyonları gelecek yıl tamamlanacak,"Hatay'da, 6 Şubat 2023 depremlerinde yıkılan veya hasar gören vakıf eserlerinin restorasyon çalışmalarının 2025'te tamamlanması planlanıyor."
Kültür-Sanat,Çehov’un Martı oyunu TRT Radyo 1’de,"Dünyaca ünlü Rus oyun ve öykü yazarı Anton Çehov'un 4 büyük oyunundan biri kabul edilen ""Martı"" eseri, Arkası Yarın Kuşağı ile TRT Radyo 1’de dinleyici ile buluşuyor. 9 bölüm olarak hazırlanan oyun, 6 Mayıs'tan itibaren her gün 09.40'ta yayında olacak."
Kültür-Sanat,"""Çeşme damla sakızı"" tescillendi","İzmir'in Çeşme ilçesinde yetişen damla sakızı, coğrafi işaret tescil belgesi ile koruma altına alındı."
Kültür-Sanat,Fatih Sultan Mehmet'in eşyaları Topkapı Sarayı'nda sergileniyor,"İstanbul'u fethederek çağ açıp çağ kapatan, Osmanlı Devleti'ni dünya imparatorluğuna dönüştüren ve şehre çok sayıda eser kazandıran Fatih Sultan Mehmet'in şahsi eşyaları Topkapı Sarayı'nda sergileniyor."
Kültür-Sanat,"Sinema sektörüne 34,5 milyon lira destek","Kültür ve Turizm Bakanlığı, senaryo ve diyalog yazım, kısa film yapım, kısa animasyon film yapım ve yerli film gösterim projelerine 34,5 milyon lira destek sağlanacağını duyurdu."
Kültür-Sanat,Bu hafta 14 film vizyona girecek,"Sinema salonlarında bu hafta 10'u yerli, 14 film vizyona girecek."
Kültür-Sanat,Fatih'in portreleri Londra'da sergileniyor,"Osmanlı padişahı Fatih Sultan Mehmet'in İtalyan sanatçı Gentile Bellini tarafından yapılan ünlü portresi, Londra'daki Victoria ve Albert Müzesi'nde (VA) yine Bellini ve iki sanatçı tarafından yapılan Fatih portreli kabartmalı bronz madalyonlarla sergileniyor."
Kültür-Sanat,Türk enstrümanlarını geleceğe taşıyor: Feridun Obul,Unutulmaya yüz tutmuş çok sayıda Türk müzik aletini yeniden canlandırıyor Feridun Obul. Sultanahmet’teki küçük atölyesinde yüzlerce müzik aleti sırada bekliyor...
Kültür-Sanat,"Külliye'de ""Cumhuriyet, Güvenlik ve Jandarma"" temalı sergi açıldı","Jandarma Genel Komutanlığının, geçen yıl Cumhuriyet'in 100. yıl dönümü kutlamaları kapsamında ilkokul, ortaokul ve lise öğrencilerine yönelik düzenlediği yarışmaya gönderilen resimlerin yer aldığı ""Cumhuriyet, Güvenlik ve Jandarma"" temalı sergi törenle açıldı."
Kültür-Sanat,43. İstanbul Film Festivali'nin ödülleri sahiplerini buldu,İstanbul Kültür Sanat Vakfı (İKSV) tarafından düzenlenen 43. İstanbul Film Festivali'nin ödülleri sahiplerine verildi.
Kültür-Sanat,"Bakan Ersoy, Yunan mevkidaşı ile ""Romeo ve Juliet"" oyununu izledi","Kültür ve Turizm Bakanı Mehmet Ersoy ile Yunanistan Kültür Bakanı Lina Mendoni, William Shakespeare'in unutulmaz eseri ""Romeo ve Juliet"" oyununun Atatürk Kültür Merkezi'ndeki (AKM) gösteriminde bir araya geldi."
Kültür-Sanat,Münire Sultan’ın Kur'an-ı Kerim’i 4.6 milyon liraya satıldı,"İngiltere’de Sotheby's Müzayede Evi'nde Sultan I. Abdülmecid’in kızı Münire Sultan’a ait el yazması Kur’an-ı Kerim, 114 bin 300 pounda (4 milyon 655 bin lira) satıldı."
Kültür-Sanat,Bu hafta 9 yeni film vizyona giriyor,Türkiye'deki sinema salonlarında bu hafta 3'ü yerli 9 film vizyona girecek.
Kültür-Sanat,Çankırı Kültür Evi ziyaretçilerini nostaljik yolculuğa çıkarıyor,"Çankırı'da eski eşyalarla döşenen Çankırı Kültür Evi, ziyaretçilerini geçmişe götürüyor."
Kültür-Sanat,3. Uluslararası Hadi Poyrazoğlu Kukla ve Karagöz Festivali başladı,"3'üncü Uluslararası Hadi Poyrazoğlu Kukla ve Karagöz Festivali başkent Ankara'da başladı. TRT'nin de destek verdiği festivalde; yerli ve yabancı kukla oyunları ile atölye çalışmaları gerçekleştirilecek. Festival, Ankara'nın ardından İstanbul ve Azerbaycan'ın başkenti Bakü'de de sanatseverlerle buluşacak."
Kültür-Sanat,Şanlıurfa'ya yeni kazı alanları kazandırılacak,"Şanlıurfa Valiliği, kente yeni kazı alanlarının kazandırılmasının planlandığını duyurdu."
Kültür-Sanat,Küçük ressam şehit babası anısına sergi düzenledi,"Görevi başındayken geçirdiği trafik kazasında şehit olan polis memuru Hüseyin Gül’ün 12 yaşındaki oğlu Talha Gül, çizdiği yağlı boya resimlerini babası anısına düzenlediği sergide sanatseverlerle buluşurdu."
Kültür-Sanat,Dünyada bu hafta bir dizi etkinlik sanatseverlerle buluşacak,"Dünyanın çeşitli şehirlerinde bu hafta, geniş bir yelpazede birbirinden farklı etkinliklerin yanı sıra konser, sergi, tiyatro ve performanslar gerçekleştirilecek."
Kültür-Sanat,Turistler rotayı İshak Paşa Sarayı'na çevirdi,"Ağrı'nın Doğubayazıt ilçesinde Osmanlı'nın Anadolu'daki en seçkin eserleri arasında yer alan tarihi İshak Paşa Sarayı görkemli yapısıyla ""Turizm Haftası""nda da yerli ve yabancı ziyaretçileri konuk ediyor."
Kültür-Sanat,Tokat'taki Sebastapolis Antik Kenti depremlerde zarar görmedi,"Tokat'ın Sulusaray ilçesinde bulunan Sebastapolis Antik Kenti, depremlerde zarar görmedi."
Kültür-Sanat,Ankara-Diyarbakır turistik treni bugün yola çıkıyor,"Ankara-Diyarbakır turistik treni, bugün Tarihi Ankara Garı'ndan kalkış yaparak ilk seferine başlayacak."
Kültür-Sanat,12 film bu hafta vizyona girecek,"Sinema salonlarında bu hafta beşi yerli, 12 film vizyona girecek."
Kültür-Sanat,Portakal Çiçeği Karnavalı ziyaretçilerini ağırlamaya başladı,Adana'da bu yıl 12'ncisi düzenlenen Portakal Çiçeği Karnavalı kapsamında etkinlik alanına kurulan stantlar ziyaretçilerine katılarını açtı.
Kültür-Sanat,23 Nisan TBMM'de özel programlarla kutlanacak,23 Nisan Ulusal Egemenlik ve Çocuk Bayramı ile TBMM'nin açılışının 104. yıl dönümü kutlamaları kapsamında Meclis'te 4 gün boyunca özel etkinlikler düzenlenecek.
Kültür-Sanat,Fatih Sultan Mehmet'in Trabzon'u fetih rotası belirleniyor,"Fatih Sultan Mehmet'in Trabzon'u fethederken kara ordusunun kullandığı güzergah ile 2 bin 400 yıl önce Pers prensi iki kardeş arasındaki savaşa katılan paralı askerlerin yürüdüğü rota, 2 yıllık çalışmanın ardından belirlendi."
Kültür-Sanat,Samsun Devlet Opera ve Balesi müzede konser verdi,"Samsun Devlet Opera ve Balesince (SAMDOB), Turizm Haftası etkinlikleri kapsamında Samsun Müzesi'nde ""Türk Bestecileri ve Şarkıları"" konseri düzenlendi."
Kültür-Sanat,Samsun Müzesi bir ayda 50 bin kişiyi ağırladı,"Karadeniz'in dalgalarından esinlenilerek inşa edilen, 15 bin metrekare alana sahip Samsun Müzesi, açıldığı ilk ayda kent turizmine hareket kazandırdı. Açıldığı 13 Mart'tan bu yana 50 bin kişiyi ağırladı."
Kültür-Sanat,Zeugma Mozaik Müzesi bayramda rekor tazeledi,"Başta ""Çingene Kızı"" mozaiği olmak üzere birçok önemli esere ev sahipliği yapan Gaziantep'teki Zeugma Mozaik Müzesi, 9 günlük Ramazan Bayramı tatilinde yaklaşık 40 bin kişiyi ağırladı."
Kültür-Sanat,Trump'ın hayatı Cannes Film Festivali'nde büyük ödül için yarışıyor,"Eski ABD Başkanı Donald Trump'ın gelişim yıllarını konu alan biyografik filmin prömiyeri önümüzdeki ay Cannes Film Festivali'nde yapılacak. İranlı-Danimarkalı film yapımcısı Ali Abbasi'nin yönettiği 'Çırak', genç Trump'ın 1970'ler ve 1980'lerde New York'ta emlak işine nasıl başladığını ve akıl hocası Roy Cohn ile nasıl tanıştığını anlatıyor."
Kültür-Sanat,Milli Saraylara bağlı müzeler ziyaretçi rekoru kırdı,"Milli Saraylar Başkanlığına bağlı müzeler, Ramazan Bayramı tatilinde ziyaretçi akınına uğradı."
Kültür-Sanat,Müze ve ören yerlerini 1 milyon 700 binin üzerinde kişi ziyaret etti,Bayram tatilinde Türkiye'nin tarih ve kültür hazinelerini keşfetmek isteyen 1 milyon 784 bin 233 kişi Bakanlığa bağlı müze ve ören yerlerini ziyaret etti.
Kültür-Sanat,İstanbul bu hafta birçok etkinlikle sanatseverleri ağırlayacak,"İstanbul bu hafta, geniş bir yelpazede birbirinden farklı etkinliklerle yerli ve yabancı sanatçıların katılacağı konser, sergi, tiyatro gösterisi ve performanslara sahne olacak."
Kültür-Sanat,Yurt dışına kaçırılan 25 bin 525 eser geri getirildi,"Kültür ve Turizm Bakanlığı Kültür Varlıkları ve Müzeler Genel Müdürlüğü'ne bağlı kültür varlığı kaçakçılığıyla mücadele ekiplerinin 1980 yılından beri izini takip ettiği, yurt dışına kaçırılan 25 bin 525 tarihi eser ve kültür varlığı, geri getirildi."
Kültür-Sanat,Göbeklitepe bayram tatilinde 55 bin ziyaretçi ağırladı,"Şanlıurfa'da 12 bin yıllık geçmişiyle ""tarihin sıfır noktası"" olarak nitelendirilen ve UNESCO Dünya Mirası Listesi'nde yer alan Göbeklitepe'yi Ramazan Bayramı tatilinde 55 bin 573 kişi ziyaret etti."
Kültür-Sanat,Pamukkale ziyaretçilerini gece de ağırlamaya başladı,"Travertenleri ve Hierapolis antik kentiyle eşsiz zenginliğe sahip Pamukkale, gece müzeciliği projesi kapsamında tamamlanan ışıklandırma projesiyle artık hava karardıktan sonra da gezilebiliyor."
Kültür-Sanat,Gelibolu'ya bu yıl 5 milyon ziyaretçi bekleniyor,"Çanakkale Savaşları Gelibolu Tarihi Alan Başkanı İsmail Kaşdemir, Çanakkale Savaşları’nın yaşandığı Tarihi Gelibolu Yarımadası’nın, hem Türkiye’nin hem dünyanın çok büyük bir buluşma noktası olmaya devam ettiğini ve bu yıl Tarihi Alan'a 5 milyon ziyaretçi beklediklerini söyledi."
Kültür-Sanat,Zeugma Mozaik Müzesi ziyaretçi rekoru kırdı,"Gaziantep'deki Zeugma Mozaik Müzesi, dün 5 bin 660 kişiyi ağırlayarak günlük ziyaretçi rekoru kırdı."
Kültür-Sanat,Sinemalarda 6 yeni film vizyona girecek,"Sinema salonlarında dün vizyona giren 2 filmle birlikte, bayram haftasında 6 film izleyiciyle buluşuyor."
Kültür-Sanat,Nuri Alço'nun sağlık durumu nasıl?,"Eskişehir'de rahatsızlanan 73 yaşındaki sinema oyuncusu Nuri Alço'nun, Eskişehir Şehir Hastanesi Kardiyovasküler Cerrahi Yoğun Bakım Ünitesi'nde tedavisi sürüyor. Doç. Dr. Mustafa Sungur, Alço'nun durumunun stabil olduğunu ve hayati tehlikesinin olmadığını vurguladı."
Kültür-Sanat,Sezon boyu müze ve ören yerlerinin saatleri uzatıldı,"Turizm sezonu boyunca Aspendos, Side, Patara, Hierapolis, Efes ören yerleri gece 00.00'a kadar ziyarete açık olacak."
Kültür-Sanat,Nuri Alço'nun sağlık durumuna ilişkin yeni gelişme,"Sağlık Bakanı Fahrettin Koca, Türk sinemasının önemli oyuncularından Nuri Alço'nun sağlık durumuna ilişkin, ""Eskişehir Şehir Hastanesine sevk edilen sanatçının ilk tetkikleri sonucunda kalp yetmezliği, akciğer ödemi ve beyin damar tıkanıklığı tespit edilmiştir. Bilinci açık olan hastamızın tedavisi yoğun bakımda devam etmektedir"" dedi."
Kültür-Sanat,"Mersin'deki ""Taş Bina"" müzeye dönüştürülecek","Mersin'de uzun yıllar Büyükşehir Belediyesince kullanılan ""Taş Bina"", restorasyonun ardından kent müzesi olarak hizmet verecek."
Kültür-Sanat,"Gençlik ve Spor Bakanlığı gönüllü ""kamp lideri"" arıyor","Gençlik ve Spor Bakanlığı Gençlik Hizmetleri Genel Müdürlüğü, gençlik kamplarında görevlendirilmek üzere 660 gönüllü kamp lideri alımı yapacak."
Kültür-Sanat,Türker İnanoğlu son yolculuğuna uğurlandı,"Türk sinemasında ""Bay Sinema"" olarak anılan, yönetmen ve yapımcı Türker İnanoğlu, Levent'teki Barbaros Hayreddin Paşa Camii'nden son yolculuğuna uğurlandı."
Kültür-Sanat,Bu hafta vizyona giren filmler,"Sinema salonlarında bu hafta 5'i yerli, 8 film izleyici ile buluşacak."
Kültür-Sanat,"""Bay Sinema""ya veda","Yeşilçam tarihine damgasını vuran yüzlerce film, milyonları ekrana bağlayan diziler ve TV programlarına imza attı. 88 yaşında hayatını kaybeden usta yapımcı Türker İnanoğlu son yolculuğuna uğurlanıyor. İnanoğlu için ilk tören İstanbul'daki Tim Show Center'da düzenlendi."
Kültür-Sanat,"Mavera Müzik Topluluğu ""Ramazaniyeler"" programı ile sanatseverlerle buluştu","Mavera Türk Müziği Topluluğu, İstanbul Büyükşehir Belediyesi (İBB) Cemal Reşit Rey Konser Salonu'nda (CRR) ""Ramazaniyeler"" programıyla sahne aldı."
Kültür-Sanat,Dünyamızı renklendiren mucitler: Lumiere Kardeşler,"Siyah-beyaz fotoğraflardan bugünkü renkli fotoğraflara, hatta yapay zekayla oluşturulan görsellere nasıl geldiğimizi hiç düşündünüz mü? 118 yıl önce bugün attıkları adımla renkli fotoğrafın mucitleri Lumiere kardeşler dünyamızı nasıl renklendirmiş beraber bakalım."
Kültür-Sanat,14 yıl önce bulunan mamut fosilleri müzede sergileniyor,"Samsun'un Ladik ilçesinde eski bir maden ocağında 14 yıl önce tesadüfen bulunan mamut fosilleri, yeni açılan Samsun Müzesi'nde sergilenmeye başlandı."
Kültür-Sanat,Türker İnanoğlu hayatını kaybetti,"Yapımcı ve film yönetmeni Türker İnanoğlu, geçirdiği ani rahatsızlığın ardından kaldırıldığı hastanede hayatını kaybetti."
Kültür-Sanat,Otelin altından 640 yıllık kale çıktı,"Arkeologlar, Fransa'nın batısındaki Vannes bölgesinde yakın zamana kadar faaliyet gösteren Hotel Lagorce'ün avlusunda 14. yüzyıldan kalma bir kalenin kalıntılarını bulduklarını duyurdu."
Kültür-Sanat,Kadir İnanır yoğun bakımdan çıkarıldı,Sanatçı Kadir İnanır yoğun bakımdaki tedavisi sona erdi.
Kültür-Sanat,Kadir İnanır yoğun bakımdan çıkarıldı,Sanatçı Kadir İnanır yoğun bakımdaki tedavisi sona erdi.
Kültür-Sanat,2 bin 500 yıllık kaya mezarı turizme kazandırılacak,Muğla'nın Marmaris ilçesinde tespit edilen Karya dönemine ait 2 bin 500 yıllık kaya mezarının çevresinde düzenleme yapılacak.
Kültür-Sanat,Türkiye'nin kültürel hafızası Milli Kütüphanede 20 milyon sayfa dijitalleşti,"Türkiye'nin kültürel hafızası Milli Kütüphane kaynaklarında bugüne kadar 20 milyon sayfa dijitale aktarılırken, kütüphanenin yakın zamanda Ankara dışından da erişilebilir hale getirilmesine ilişkin çalışmalar başlatıldı."
Kültür-Sanat,Oppenheimer'ın yönetmeni Christopher Nolan'a şövalyelik unvanı verilecek,"Tarihi drama Oppenheimer'la Oscar zaferi yaşayan İngiliz-Amerikalı film yapımcısı Christopher Nolan, hizmetlerinden dolayı İngiltere'den şövalyelik unvanı alacak."
Kültür-Sanat,'Kaplumbağa Terbiyecileri' komşu oldu,'Kaplumbağa Terbiyecileri' komşu oldu. Osman Hamdi Bey'in birer yıl arayla yaptığı tablolar İstanbul Beyoğlu'nda sergileniyor.
ÖZEL HABER,Kitapların yeniden hayat bulduğu atölye: Kitap Şifahanesi,"İstanbul Rami Kütüphanesi'nin ev sahipliği yaptığı Kitap Şifahanesi’nde, zarar gören nadir eserlerin onarımı özenle yapılıyor."
Kültür-Sanat,Bakan Ersoy: Turizmi 12 aya ve 81 ile yayacağız,"Kültür ve Turizm Bakanı Mehmet Nuri Ersoy, ""Ülkemizin potansiyelini esere, hizmete, faydaya dönüştürmeyi sürdüreceğiz. 12 ay boyunca 81 ilinde turizm hareketi olan bir turizm ülkesi olarak Türkiye'yi lider ülkelerin arasına sokacak ve kalıcı olmasını sağlayacağız"" dedi."
Kültür-Sanat,Kırgız neneler 'Türkü Kervanı' ile geleneklerini gelecek nesillere aktarıyor,"Kırgızistan'da folklora meraklı neneler ""Türkü Kervanı"" projesi ile geleneklerini yaşatıyor. Ülkedeki televizyon programlarına, yerel ve ulusal bayramlara, festivallere davet edilen folklora meraklı neneler etkinliklerin vazgeçilmezleri olarak öne çıkıyor."
Kültür-Sanat,Kadir İnanır'ın yoğun bakımda tedavisi sürüyor,Sanatçı Kadir İnanır'ın Ümraniye Eğitim ve Araştırma Hastanesi'nde yoğun bakımda tedavisi sürüyor. Usta oyuncunun bu akşam saatlerinde uyandırılması ve makineden ayrılması planlanıyor.
Kültür-Sanat,Kültür Yolu Festivali'nin programı açıklandı,"Kültür ve Turizm Bakanı Mehmet Ersoy, Türkiye Kültür Yolu Festivali'nin 2024 yılı takvimini açıkladı. Ersoy, ""2023'e geldiğimizde festivale katılım sağlayan sanatçı sayımız 34 bin seviyesine ulaştı. Bu yılki hedefimiz ise 40 bin sanatçı"" açıklamasını yaptı."
Kültür-Sanat,Kırgız neneler 'Türkü Kervanı' ile geleneklerini gelecek nesillere aktarıyor,"Kırgızistan'da folklora meraklı neneler ""Türkü Kervanı"" projesi ile geleneklerini yaşatıyor. Ülkedeki televizyon programlarına, yerel ve ulusal bayramlara, festivallere davet edilen folklora meraklı neneler etkinliklerin vazgeçilmezleri olarak öne çıkıyor."
Kültür-Sanat,Kadir İnanır'ın yoğun bakımda tedavisi sürüyor,Sanatçı Kadir İnanır'ın Ümraniye Eğitim ve Araştırma Hastanesi'nde yoğun bakımda tedavisi sürüyor. Usta oyuncunun bu akşam saatlerinde uyandırılması ve makineden ayrılması planlanıyor.
Kültür-Sanat,Kültür Yolu Festivali'nin programı açıklandı,"Kültür ve Turizm Bakanı Mehmet Ersoy, Türkiye Kültür Yolu Festivali'nin 2024 yılı takvimini açıkladı. Ersoy, ""2023'e geldiğimizde festivale katılım sağlayan sanatçı sayımız 34 bin seviyesine ulaştı. Bu yılki hedefimiz ise 40 bin sanatçı"" açıklamasını yaptı."
Kültür-Sanat,Türkiye'deki kütüphanelerde kullanıcı sayısı 33 milyonu geçti,"Kültür ve Turizm Bakanlığı Kütüphaneler ve Yayımlar Genel Müdürü Taner Beyoğlu, halk kütüphaneleri sayısının 1298 olduğunu, kullanıcı sayısının da 33 milyonu aştığını açıkladı."
Kültür-Sanat,tabii'den merak uyandıran yeni dizi: Gassal,"TRT'nin dijital platformu tabii, yeni dizi Gassal'ı izleyiciyle buluşturmaya hazırlanıyor. Başrolde oyuncu Ahmet Kural’ın yer aldığı dizinin yönetmen koltuğunda Selçuk Aydemir oturuyor. TRT Haber ekibi dizinin setine konuk oldu, oyuncular projeyle ilgili detayları anlattı."
Kültür-Sanat,İftar ile sahur arasında vazgeçilmez lezzet: Közde çay,Konya'da vatandaşlar iftar ile sahur arasında közde demlenen çayın keyfini çıkarıyor.
Kültür-Sanat,Kadir İnanır hastaneye kaldırıldı,"Sanatçı Kadir İnanır, İstanbul'daki evinde rahatsızlanarak hastaneye kaldırıldı. Beyin damarına pıhtı attığı öğrenilen İnanır'ın yoğun bakımda tedavisi sürüyor."
Kültür-Sanat,"""Çizgi Ötesi"" sergisi Nevmekan Sahil Galeri'de açıldı","Hattat Savaş Çevik'in son dönem eserlerinden oluşan ""Çizgi Ötesi"" adlı hüsnühat sergisi sanatseverlerle buluştu."
Kültür-Sanat,Oyuncu Bahar Öztan son yolculuğuna uğurlandı,"Kanser nedeniyle vefat eden ünlü oyuncu Bahar Öztan, Şakirin Camisi'nde kılınan cenaze namazının ardından son yolculuğuna uğurlandı."
